symbol,SexDiff_log2FC,ArKObulk_log2FC,ArKOsn_log2FC,Sex
Aacs,-1.49256650241745,-1.40047383703161,2.09300072804655,M
Abcb1a,1.44232033948692,1.41576253038316,2.37834006391705,F
Abcb1b,2.27921296644609,2.10835276739209,2.63850778376922,F
Abcc3,4.24436555859646,2.38052026681225,6.9967777257203,F
Acnat1,1.11720659997247,1.2858198807519,1.65692772283568,F
Acot3,1.47267679616559,1.16770587239761,2.04616575268247,F
Acsl1,1.04162151380494,0.554507882788318,3.04358259166847,F
Acsm2,-1.82433603200662,-1.31995649581067,-4.15889435786218,M
Acsm3,-6.60060266578251,-4.0768731267937,-3.79438042932702,M
Acss2,-0.917616921836906,-0.778118704554492,-0.934605882432714,M
Acy3,-2.24058151098948,-1.5671160955801,-1.81951763707124,M
Adh1,-1.72599461970836,-1.07559419513515,-1.01143054865697,M
Adrb2,-1.09705795017622,-0.972123952157112,-1.15850519406692,M
Agps,-1.45107486738674,-1.48426133156905,-3.08051240789571,M
Akr1c14,-1.45272601402496,-2.09640143650026,-3.49897741630812,M
Aldh3a2,-0.863745079818695,-0.994144985990936,-1.44578447714253,M
Amacr,-2.19831965226285,-1.79057216782518,-1.62119656820919,M
Angptl3,1.93805516850977,0.882846554288247,1.80914487905421,F
Angptl7,-1.82442631004202,-1.32337293371994,-1.54192956149267,M
Anxa6,0.846323279715368,0.744973834109827,2.23881083062486,F
Apela,1.16824953576638,0.890615651996331,3.28432548987723,F
Apoe,2.19381221401628,1.61339416542807,1.49458942045586,F
Arg2,2.32226473940352,1.68791721401517,1.76656915550143,F
Arsb,-0.78847192120164,-0.834025820826003,-1.26970881840405,M
Atp11a,-1.68309585356422,-2.08337881039311,-0.880011273302798,M
Atrnl1,-0.878234010570863,-1.07137078501228,-1.5879786917092,M
Azgp1,-3.84656888975037,-2.40222843637331,-2.23923646617978,M
BC049987,-2.78526812693719,-2.56131827937082,-3.88812059129174,M
Bmp1,0.709573822607765,1.01099170008763,2.55991627274545,F
Brap,-0.610249779682923,-0.649106312017606,-1.20690218937237,M
C1qtnf3,-2.16255376777529,-2.00338636825102,-2.78943354874026,M
Cadm1,-0.791259236100755,-0.656317731485688,-2.53469234970595,M
Capg,2.09818871353207,1.52311628758136,3.45425049131955,F
Castor1,-0.778103010509264,-0.598928899587587,-1.57614527683058,M
Cbr1,2.72644516965364,1.48347540132752,1.92527503907617,F
Cbs,-1.28805163174082,-1.04391944850954,-1.21344046530244,M
ccdc198,0.710544790158634,0.554070476103824,1.42254163159221,F
Ccdc6,-0.862156689527149,-0.940658310378533,-1.2848745476838,M
Cd36,-1.69127631497069,-2.12764396448739,-5.11142065345138,M
Cdh6,2.08516906359087,1.38083998186098,2.9183048108067,F
Ceacam2,2.30285307966523,3.04402419534525,2.33545769908755,F
Ces1f,-2.8988059164752,-2.3519046415935,-0.847545077275407,M
Ces2c,-2.43356252044222,-1.49936166994758,2.01120314095248,M
Chst11,-2.57596753004213,-2.31497044517517,-7.2311631656441,M
Chst7,-3.5364874155977,-2.52156896646988,-2.65427396545862,M
Clip4,-1.6114426465748,-1.08705630572802,-1.5037944326059,M
Cndp2,-2.84720750315818,-2.44499941634371,-1.35824952177278,M
Cpn1,0.944060060746664,1.34259482949494,1.78012885868715,F
