symbol,tested,sum_a,sum_b,common_mean,dispersion,mean_a_sizenorm,mean_b_sizenorm,log2FC,p,p_adj,significant,Direction
Uty,TRUE,1,3820,1.06026100314036,86.1276769886001,0.000429466379256253,2.91925638689902,-11.7306630919917,1.75392131458301e-57,3.51748919639623e-53,TRUE,DOWN
Ddx3y,TRUE,1,1178,0.329388133192349,89.8707662361842,0.000429466379256253,0.900231419834304,-10.0342765526139,1.65153952824836e-42,1.65608126195104e-38,TRUE,DOWN
Eif2s3y,TRUE,0,868,0.241613199832542,95.178725428166,0,0.66332841461475,-10.5941409164485,5.8497998971206e-39,3.91059123122512e-35,TRUE,DOWN
Kdm5d,TRUE,0,699,0.195048525077144,95.5164423268528,0,0.534178066607961,-10.2821396614665,1.21710940270177e-36,6.10228226779599e-33,TRUE,DOWN
Cyp2j13,TRUE,46,1910,0.541829031581066,91.9279979040541,0.0197554534457876,1.45962819344951,-6.17645176093396,1.12927999438416e-29,3.23538718391061e-26,TRUE,DOWN
Chst11,TRUE,2,463,0.13094123921649,121.902529167027,0.000858932758512505,0.353826101344043,-8.10394704404056,2.67909063632886e-25,6.71614533894692e-22,TRUE,DOWN
Gm49980,TRUE,1408,17241,5.14044015548379,84.3433918321522,0.604688661992804,13.1756281064204,-4.44411216360773,4.12309166372815e-21,9.18762259067423e-18,TRUE,DOWN
Ugt8a,TRUE,17,324,0.0939131529151138,119.599347638625,0.00730092844735629,0.247601850616566,-5.00529945610764,1.28992181867439e-15,2.5869382073515e-12,TRUE,DOWN
Gm11867,TRUE,41,385,0.116675805210217,106.7099392878,0.0176081215495064,0.294218248417833,-4.03106816412346,4.03634887810106e-13,6.74574806252639e-10,TRUE,DOWN
Slc22a30,TRUE,709,4018,1.30319083245967,85.9293377927938,0.304491662892683,3.07056862894247,-3.33187419730084,4.51504868019073e-13,6.96533086778655e-10,TRUE,DOWN
Adam11,TRUE,49,399,0.124868688684814,108.594784935283,0.0210438525835564,0.304917093814845,-3.83092854963414,3.54139189184399e-12,5.07304388506651e-09,TRUE,DOWN
Wfdc8,TRUE,0,76,0.0215836882680156,191.686039830161,0,0.0580794464409228,-7.09771509032904,2.60556132953765e-11,3.48363549759184e-08,TRUE,DOWN
Slc22a28,TRUE,2743,9698,3.44093894955864,83.3952615802589,1.1780262782999,7.41124304715881,-2.65248407630857,2.26930750745956e-09,2.67711541541773e-06,TRUE,DOWN
Fchsd1,TRUE,51,248,0.0808087538106258,103.617900587126,0.0219027853420689,0.189522404175643,-3.09049076356113,7.12605104321835e-09,7.1456476835872e-06,TRUE,DOWN
Zfp579,TRUE,192,683,0.240952898693282,91.3825881935091,0.0824575448172005,0.521950814725662,-2.65632402725196,2.42736110917082e-08,2.02836362685087e-05,TRUE,DOWN
Gm11290,TRUE,58,364,0.116367990330942,148.316372140894,0.0249090499968627,0.278169980322315,-3.46003815403968,2.83320632326384e-08,2.27279811252225e-05,TRUE,DOWN
Ctsa,TRUE,603,1912,0.693921551318076,85.9244302037975,0.25896822669152,1.4611565999348,-2.49414496865517,3.50263514421102e-08,2.70174414681354e-05,TRUE,DOWN
Nkain2,TRUE,21,134,0.043287769229803,129.354813060436,0.0090187939643813,0.102403234514259,-3.44831252804767,3.90804515413266e-08,2.90280909504187e-05,TRUE,DOWN
Snhg9,TRUE,83,356,0.118219846131263,109.786146757186,0.035645709478269,0.272056354381165,-2.91839139088448,4.61047898490099e-08,3.30225557293533e-05,TRUE,DOWN
Nr1d1,TRUE,53,229,0.0791356103543495,105.984747451927,0.0227617181005814,0.175002542565412,-2.92153109841505,6.16096115369893e-08,3.98574438507845e-05,TRUE,DOWN
Gm16066,TRUE,230,737,0.265188477320344,91.0135293274075,0.0987772672289381,0.563217789828423,-2.50665651427848,1.05250359583361e-07,6.20822341601264e-05,TRUE,DOWN
2900060B14Rik,TRUE,39,193,0.0632680825623592,123.548542008243,0.0167491887909939,0.147491225830238,-3.10891329693391,1.13546583513811e-07,6.50556531485823e-05,TRUE,DOWN
BC024386,TRUE,1428,4009,1.49602696588296,83.7359285994553,0.613277989577929,3.06369079975868,-2.31952486988061,1.6126754765091e-07,8.7411369409162e-05,TRUE,DOWN
Gm29650,TRUE,0,32,0.00881812547181501,215.45441151424,0,0.0244545037645991,-5.87532266899259,2.53078358181756e-07,0.000133565433508819,FALSE,DOWN
Tgfbr3l,TRUE,32,153,0.0508038776518054,122.777131380416,0.0137429241362001,0.116923096124489,-3.05332097097059,2.70017937834985e-07,0.000138851531878991,TRUE,DOWN
Man2c1,TRUE,97,334,0.117236056256427,101.2758747639,0.0416582387878565,0.255243883043003,-2.60423599086407,3.20633526753519e-07,0.000160757634476045,TRUE,DOWN
Mbd6,TRUE,202,617,0.223631454771606,93.5243037292819,0.086752208609763,0.471513400711176,-2.43705566035334,3.68419459923384e-07,0.00018021103094545,TRUE,DOWN
Slc7a13,TRUE,1,55,0.0151961295785441,303.214249671602,0.000429466379256253,0.0420311783454047,-5.63828347169174,5.07845697143508e-07,0.000236856871074722,TRUE,DOWN
Ell3,TRUE,18,99,0.0325785057891981,137.632504957897,0.00773039482661255,0.0756561210217284,-3.22685722596528,7.55597959811235e-07,0.000336744824089207,TRUE,DOWN
Gigyf1,TRUE,612,1599,0.61140602934532,85.6509979942714,0.262833424104827,1.22196098498731,-2.21504147571808,8.27395037270491e-07,0.000360726249401298,TRUE,DOWN
