symbol,tested,sum_a,sum_b,common_mean,dispersion,mean_a_sizenorm,mean_b_sizenorm,log2FC,p,p_adj,significant,Direction
Ar,TRUE,7,3983,1.094976751,28.74489419,0.004832821,2.131002939,-8.592392437,7.54E-76,1.51E-71,TRUE,DOWN
Ugt8a,TRUE,4,3145,0.808866014,28.57066504,0.002761612,1.682652333,-8.929765365,5.69E-74,5.69E-70,TRUE,DOWN
Cyp7b1,TRUE,145,22879,6.2779725,29.52553573,0.100108434,12.24082758,-6.924365377,4.68E-73,3.12E-69,TRUE,DOWN
Chst11,TRUE,16,2897,0.779437819,28.69331665,0.011046448,1.549966235,-7.045769543,8.97E-63,4.49E-59,TRUE,DOWN
Sox2ot,TRUE,6,970,0.274904583,31.4109851,0.004142418,0.518973851,-6.748363068,9.48E-45,3.29E-41,TRUE,DOWN
Slc7a13,TRUE,569,16803,5.337573047,28.216641,0.392839303,8.990018172,-4.514089466,5.90E-43,1.69E-39,TRUE,DOWN
Slco1a1,TRUE,0,770,0.207633763,37.3387802,0,0.411968934,-9.222977555,7.25E-43,1.82E-39,TRUE,DOWN
Acsm2,TRUE,437,9751,2.978806763,28.10331788,0.301706108,5.217024769,-4.109085856,3.47E-37,7.72E-34,TRUE,DOWN
Csgalnact1,TRUE,32,1188,0.298259255,29.83480929,0.022092896,0.635609212,-4.803529385,3.71E-36,6.76E-33,TRUE,DOWN
Mpped1,TRUE,2,412,0.116134637,29.45349946,0.001380806,0.220430131,-6.737425975,5.52E-35,8.51E-32,TRUE,DOWN
Pzp,TRUE,3,442,0.146773614,35.01370543,0.002071209,0.236480868,-6.423553393,6.49E-32,9.28E-29,TRUE,DOWN
Acsm3,TRUE,267,4837,1.48270676,28.78925793,0.184337599,2.587913938,-3.806496368,9.77E-32,1.31E-28,TRUE,DOWN
Fmo5,TRUE,77,1668,0.484344145,29.13145998,0.05316103,0.892421015,-4.051756525,1.44E-31,1.81E-28,TRUE,DOWN
Cyp2j13,TRUE,27,703,0.186006383,30.26745641,0.018640881,0.376122286,-4.284467201,2.45E-28,2.73E-25,TRUE,DOWN
Tspan13,TRUE,0,229,0.058992452,30.42625632,0,0.122520631,-7.477880556,5.81E-28,5.82E-25,TRUE,DOWN
Kif20b,TRUE,200,2909,0.905520965,29.35939054,0.138080599,1.55638653,-3.488142251,9.81E-27,8.54E-24,TRUE,DOWN
Gm15348,TRUE,83,1234,0.378734239,28.60406877,0.057303448,0.660220343,-3.510368408,1.83E-25,1.41E-22,TRUE,DOWN
Col19a1,TRUE,2,245,0.082790429,36.00955045,0.001380806,0.131081024,-5.989942509,3.85E-24,2.75E-21,TRUE,DOWN
Tc2n,TRUE,51,769,0.24278342,29.3661767,0.035210553,0.411433909,-3.520665422,2.79E-23,1.86E-20,TRUE,DOWN
Bcl6,TRUE,158,1850,0.54997446,28.34790324,0.109083673,0.98979549,-3.173596729,3.03E-23,1.96E-20,TRUE,DOWN
Col6a6,TRUE,8,307,0.088907823,34.73248722,0.005523224,0.164252549,-4.729252044,1.23E-22,7.22E-20,TRUE,DOWN
Hsd17b11,TRUE,44,598,0.168806731,29.74154235,0.030377732,0.319944704,-3.366949601,1.03E-20,5.03E-18,TRUE,DOWN
Papss1,TRUE,52,558,0.150341642,27.83376252,0.035900956,0.298543721,-3.031174523,1.16E-18,4.74E-16,TRUE,DOWN
Asxl3,TRUE,36,420,0.113274476,27.71693732,0.024854508,0.224710327,-3.140613562,2.72E-18,1.05E-15,TRUE,DOWN
Gm5820,TRUE,157,1384,0.408372838,28.61606192,0.10839327,0.740474031,-2.764280017,2.67E-18,1.05E-15,TRUE,DOWN
Tmem45b,TRUE,17,307,0.092954406,33.30305063,0.011736851,0.164252549,-3.729252044,3.24E-18,1.23E-15,TRUE,DOWN
Idi1,TRUE,11,224,0.074390373,31.99358367,0.007594433,0.119845508,-3.861209195,2.42E-17,8.08E-15,TRUE,DOWN
C1qtnf3,TRUE,59,539,0.152883089,28.46923927,0.040733777,0.288378254,-2.802315506,2.15E-16,6.85E-14,TRUE,DOWN
Dcun1d2,TRUE,360,2543,0.816634221,29.12153606,0.248545078,1.36056753,-2.449418433,1.25E-15,3.73E-13,TRUE,DOWN
Rnf180,TRUE,0,103,0.031050054,45.95840242,0,0.055107533,-6.332830223,4.18E-15,1.23E-12,TRUE,DOWN
Gm15354,TRUE,9,154,0.041819933,27.23712483,0.006213627,0.082393787,-3.586586815,6.18E-15,1.80E-12,TRUE,DOWN
Slc22a28,TRUE,1403,8677,3.118980963,27.84214112,0.9686354,4.64240836,-2.260210155,7.92E-15,2.27E-12,TRUE,DOWN
Reln,TRUE,5,146,0.041623475,38.05472147,0.003452015,0.07811359,-4.247100349,8.84E-15,2.50E-12,TRUE,DOWN
Lipo3,TRUE,38,366,0.115772204,30.79458502,0.026235314,0.195819,-2.866624539,1.08E-14,3.01E-12,TRUE,DOWN
Hsd17b2,TRUE,95,695,0.227359042,28.4802745,0.065588284,0.371842089,-2.4903715,1.79E-14,4.90E-12,TRUE,DOWN
Runx1t1,TRUE,23,270,0.078961164,33.9059885,0.015879269,0.144456639,-3.129577045,3.50E-14,9.23E-12,TRUE,DOWN
Gm47761,TRUE,226,1514,0.519035703,29.75963929,0.156031076,0.810027228,-2.370944096,3.78E-14,9.84E-12,TRUE,DOWN
Slc22a30,TRUE,2828,16489,5.68171416,27.7474992,1.952459665,8.822020451,-2.175617822,4.40E-14,1.13E-11,TRUE,DOWN
Chst7,TRUE,47,372,0.118330541,28.05890172,0.032448941,0.199029147,-2.590459824,1.15E-13,2.80E-11,TRUE,DOWN
Cyp4b1,TRUE,131,907,0.304286809,30.75647052,0.090442792,0.485267302,-2.414544873,1.66E-13,3.96E-11,TRUE,DOWN
Frzb,TRUE,9,136,0.041042678,29.61869686,0.006213627,0.072763344,-3.408494493,5.83E-13,1.25E-10,TRUE,DOWN
Ptn,TRUE,84,539,0.182245438,28.79716278,0.057993851,0.288378254,-2.299815166,2.71E-12,5.59E-10,TRUE,DOWN
Gm12354,TRUE,0,61,0.018305962,29.56311526,0,0.0326365,-5.586586815,4.09E-12,8.19E-10,TRUE,DOWN
Hsd11b1,TRUE,35,279,0.095359397,31.1441473,0.024164105,0.14927186,-2.59174852,7.01E-12,1.39E-09,TRUE,DOWN
Itih2,TRUE,16,164,0.049221002,29.60455058,0.011046448,0.087744033,-2.911249878,7.50E-12,1.47E-09,TRUE,DOWN
Timd2,TRUE,3,96,0.030706412,42.29890239,0.002071209,0.051362361,-4.232303347,1.10E-11,2.09E-09,TRUE,DOWN
Gm31774,TRUE,11,129,0.038856319,28.09202666,0.007594433,0.069018172,-3.069795817,1.70E-11,3.19E-09,TRUE,DOWN
E230001N04Rik,TRUE,6,97,0.030014365,27.39767366,0.004142418,0.051897385,-3.439745427,2.19E-11,4.02E-09,TRUE,DOWN
Trabd2b,TRUE,910,4441,1.379878552,27.9548991,0.628266724,2.3760442,-1.918076938,3.13E-11,5.64E-09,TRUE,DOWN
Cfap44,TRUE,0,61,0.016955295,46.7277846,0,0.0326365,-5.586586815,9.21E-11,1.52E-08,TRUE,DOWN
Ano4,TRUE,26,206,0.064636685,31.92028726,0.017950478,0.110215065,-2.57098996,1.34E-10,2.16E-08,TRUE,DOWN
Cpox,TRUE,38,262,0.098600179,31.79086958,0.026235314,0.140176442,-2.385907275,2.37E-10,3.77E-08,TRUE,DOWN
Fkbp5,TRUE,378,1812,0.591511343,28.92262966,0.260972331,0.969464556,-1.890499676,2.51E-10,3.96E-08,TRUE,DOWN
Spats2l,TRUE,182,898,0.271387803,28.83355576,0.125653345,0.480452081,-1.928867972,4.03E-10,6.08E-08,TRUE,DOWN
1-Mar,TRUE,60,337,0.102904555,27.66004887,0.04142418,0.180303287,-2.102532603,4.04E-10,6.08E-08,TRUE,DOWN
Gm49742,TRUE,5,84,0.024003342,31.74711681,0.003452015,0.044942065,-3.45681894,4.41E-10,6.60E-08,TRUE,DOWN
Depdc1b,TRUE,39,242,0.079451482,28.62593247,0.026925717,0.129475951,-2.235274913,6.87E-10,1.02E-07,TRUE,DOWN
Shroom3,TRUE,37,241,0.077194228,31.49020894,0.025544911,0.128940926,-2.303326228,9.29E-10,1.37E-07,TRUE,DOWN
Il34,TRUE,19,162,0.056459096,35.36200794,0.013117657,0.086673983,-2.659190564,1.08E-09,1.57E-07,TRUE,DOWN
Fgf1,TRUE,2027,8699,2.968066689,27.98365695,1.399446867,4.654178901,-1.733348253,1.16E-09,1.67E-07,TRUE,DOWN
Gm45645,TRUE,25,165,0.050822894,27.23712483,0.017260075,0.088279057,-2.306990218,2.45E-09,3.31E-07,TRUE,DOWN
Smarca2,TRUE,1567,6511,2.384856144,27.78138269,1.081861491,3.4835451,-1.686565645,2.83E-09,3.77E-07,TRUE,DOWN
Stk32c,TRUE,29,184,0.059842751,28.98401065,0.020021687,0.098444524,-2.25688137,4.52E-09,5.74E-07,TRUE,DOWN
Ddit4,TRUE,25,171,0.055089131,31.63329797,0.017260075,0.091489205,-2.358215541,6.06E-09,7.45E-07,TRUE,DOWN
Dock4,TRUE,324,1372,0.472305739,28.35671029,0.22369057,0.734053736,-1.711210507,7.69E-09,9.17E-07,TRUE,DOWN
Epha4,TRUE,5,69,0.020218087,27.23712483,0.003452015,0.036916697,-3.176711021,7.97E-09,9.33E-07,TRUE,DOWN
Dach1,TRUE,153,717,0.24015492,31.16796712,0.105631658,0.38361263,-1.853443998,8.44E-09,9.83E-07,TRUE,DOWN
Il15,TRUE,117,533,0.187799825,28.30182744,0.08077715,0.285168106,-1.810443387,9.70E-09,1.12E-06,TRUE,DOWN
Fras1,TRUE,292,1221,0.401628363,27.94560349,0.201597674,0.653265023,-1.69266222,9.84E-09,1.13E-06,TRUE,DOWN
Dipk1a,TRUE,17,130,0.040725935,31.53821939,0.011736851,0.069553197,-2.495888505,1.10E-08,1.24E-06,TRUE,DOWN
Tmco3,TRUE,213,920,0.344587814,28.77259199,0.147055838,0.492222622,-1.737980864,1.10E-08,1.24E-06,TRUE,DOWN
Sema3c,TRUE,286,1194,0.393174805,28.11290218,0.197455256,0.638819359,-1.690278481,1.19E-08,1.33E-06,TRUE,DOWN
Syt14,TRUE,44,242,0.079038919,30.66730196,0.030377732,0.129475951,-2.065349912,1.69E-08,1.89E-06,TRUE,DOWN
Gm8126,TRUE,3,61,0.02017354,35.585949,0.002071209,0.0326365,-3.586586815,1.73E-08,1.92E-06,TRUE,DOWN
Slc22a22,TRUE,180,769,0.30197171,28.51803669,0.124272539,0.411433909,-1.721259253,1.80E-08,1.97E-06,TRUE,DOWN
Gsap,TRUE,447,1786,0.612003703,27.7397189,0.308610138,0.955553916,-1.628359502,1.82E-08,1.98E-06,TRUE,DOWN
Eri2,TRUE,70,331,0.112009513,27.47240322,0.04832821,0.177093139,-1.857682816,1.82E-08,1.98E-06,TRUE,DOWN
Tsga10,TRUE,27,162,0.053866915,28.11195252,0.018640881,0.086673983,-2.173763737,2.12E-08,2.25E-06,TRUE,DOWN
Coro2a,TRUE,6,77,0.022318271,35.52322192,0.004142418,0.041196893,-3.110437801,2.13E-08,2.25E-06,TRUE,DOWN
Gm48362,TRUE,2,51,0.015451534,29.17685471,0.001380806,0.027286254,-3.747867722,2.25E-08,2.37E-06,TRUE,DOWN
Atrnl1,TRUE,1351,5208,1.745221396,27.64988633,0.932734444,2.78640806,-1.57830179,2.33E-08,2.44E-06,TRUE,DOWN
Amacr,TRUE,388,1551,0.604856098,28.24305967,0.267876361,0.829823138,-1.628677002,2.77E-08,2.85E-06,TRUE,DOWN
Bmp6,TRUE,199,881,0.311749532,31.68915515,0.137390196,0.471356663,-1.77316916,2.79E-08,2.85E-06,TRUE,DOWN
