symbol	Six2-Ar-KO	Sox2-Ar-KO	Sex	FvsM
1700016C15Rik	-0.345069694789566	-1.04684699377587	M	-1.43763095922116
2310030G06Rik	-0.478861564589891	-0.945981652865163	M	-0.611092851526216
2310039H08Rik	-0.535689248919865	-0.894730908515677	M	-0.680997726601828
3110045C21Rik	-1.09911587878921	-1.47578272703996	M	-1.43508480229597
9030619P08Rik	1.27739304392259	1.26975569537694	F	2.06986959286244
Aacs	-1.39911403250459	-0.851581516385491	M	-1.49256650241745
Aadat	0.392332065720315	0.642947170259259	F	1.91198132011298
Aass	-0.679534690471523	-0.353780621785696	M	-0.958269153939169
Abcb1a	1.37582180697649	1.64385983666224	F	1.44232033948692
Abcb1b	2.10667933309215	2.56070300683262	F	2.27921296644609
Abcc3	2.37904415633187	3.25853076711152	F	4.24436555859646
Acat1	-1.14631024394218	-1.1196254347962	M	-1.04334156479348
Acbd4	-0.31633624972747	-0.589026436025196	M	-0.587048632067409
Acnat1	1.28339312408374	1.57944720751797	F	1.11720659997247
Acot12	-1.05341305681822	-1.22320175615696	M	-1.45678381533126
Acot3	1.16447161243608	1.39158853723977	F	1.47267679616559
Acot7	0.415330403162896	0.544446245047188	F	3.59119687146597
Acox1	-1.07296913491838	-1.04907968238383	M	-1.35058994364785
Acox3	-1.22308059001206	-0.961668804471029	M	-1.41845982431858
Acsl1	0.557042535117918	0.597974813624512	F	1.04162151380494
Acsm2	-1.31645118071388	-1.64297625043678	M	-1.82433603200662
Acsm3	-4.07338308064198	-5.29947864692089	M	-6.60060266578251
Acss2	-0.774418223747841	-0.630074983708831	M	-0.917616921836906
Acy3	-1.56044620417826	-2.23086798009681	M	-2.24058151098948
Adh1	-1.07088498724564	-1.62483629202309	M	-1.72599461970836
Adrb2	-0.96506420613931	-0.884802135801638	M	-1.09705795017622
Agmo	0.285002733398844	0.131331546998556	F	0.91655276736795
Agps	-1.48015288782695	-1.42704302614799	M	-1.45107486738674
Aifm3	-1.13674372330196	-1.33184869920405	M	-1.722173979441
Airn	-0.716336543625985	-0.703716969158652	M	-0.75779430502413
