"","PT-S1-fKO","PT-S1-fWT","PT-S1-mKO","PT-S1-mWT","PT-S2-fKO","PT-S2-fWT","PT-S2-mKO","PT-S2-mWT","PT-S3-fKO","PT-S3-fWT","PT-S3-mKO","PT-S3-mWT","gene_length"
"Xist",6.38311732250642e-06,6.73172173516889e-06,6.13972711055913e-07,5.16158067242861e-07,6.75073944995574e-06,6.84773907195207e-06,7.68288471510946e-07,8.65424036226206e-07,5.80111154093171e-06,6.21332189382706e-06,6.2682070310469e-07,4.75905201334875e-07,22861
"Tsix",1.89931227865784e-06,2.01153382315138e-06,3.38750865399151e-07,3.36634529561366e-07,2.03633287732789e-06,2.04533320644834e-06,3.80147605301626e-07,3.91344448356197e-07,1.68576099234037e-06,1.83109695059692e-06,3.25129942355135e-07,3.22642482559513e-07,53441
"Ugt1a2",2.87187973029887e-06,2.7292751385445e-06,1.97888671882946e-06,1.91694437872994e-06,2.97186574432385e-06,2.76366218789805e-06,2.15985377484363e-06,2.92380814080083e-06,1.58228351360501e-06,1.71881328539328e-06,2.19767919704686e-06,3.05803114974508e-06,116746
"Pgm5",1.70206978921812e-06,2.072515836561e-06,8.54411980415398e-07,9.68630626330121e-07,1.40274546730351e-06,1.28008660286804e-06,7.58926867972285e-07,1.10793356348688e-06,2.36891373043467e-06,2.57280392101034e-06,1.4697686010875e-06,1.33264883608296e-06,183582
"Gm44127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Napsa",4.57693069288178e-07,4.68705001259291e-07,8.95905514920033e-07,1.02101658846965e-06,1.08083505931997e-06,1.28806722472871e-06,2.18744414758297e-06,2.22459868129339e-06,7.60694065862616e-06,7.22562879371969e-06,7.39483414218376e-06,6.6368746447606e-06,14402
"Slc7a12",1.16206991515867e-07,1.17956725660877e-07,7.29464611798822e-07,6.52871637912626e-07,1.43089913795831e-07,1.37956972044774e-07,6.77119890729859e-07,5.72318738645308e-07,2.96673365774456e-06,3.06833435801742e-06,3.70550397481408e-06,9.94845091480125e-07,25123
"Serpina1f",3.65348991194966e-07,3.70217693830508e-07,9.59626260662893e-07,7.41734985388866e-07,5.40363060947775e-07,6.26200065438024e-07,1.15559940285244e-06,1.18188219810377e-06,1.27570457797148e-05,1.21054177571913e-05,1.15141069577565e-05,8.35705398330944e-06,7486
"Akr1c18",2.90659137058626e-07,2.60566447856525e-07,8.18990239007133e-07,9.80369294524728e-07,3.1423944568284e-07,3.30593475631773e-07,9.03830872617329e-07,9.50009799775986e-07,6.20058709677543e-06,7.8292278490757e-06,4.76588571707718e-06,6.01985365739258e-06,18005
"Cdh6",1.39433407893559e-06,1.5116002362513e-06,2.37100797596256e-06,1.20978366467406e-06,1.94173532177017e-06,1.92212294453753e-06,2.30219431422463e-06,9.97905866883725e-07,2.63056234933455e-06,2.68395914972798e-06,3.07732688794129e-06,2.04156652780708e-06,144977
