symbol,Alb-Ar-KO,Sox2-Ar-KO,Sex
0610031O16Rik,-0.000239035272902098,-0.171253468879954,M
1110038B12Rik,-0.187847503779065,-0.194321210142228,M
1110065P20Rik,0.0559926343211961,-0.142056242865951,M
1700028E10Rik,-0.333876484079439,-0.119478186041823,M
1700037H04Rik,-0.25125057299886,-0.245084549170755,M
1810019D21Rik,0.119586358551584,-0.89867323920617,M
1810034E14Rik,0.280441390419593,-0.677342589399965,M
2010003K11Rik,0.0170975204194713,0.27802357032596,M
2010315B03Rik,0.0715484300005257,-0.429140463806292,M
2200002D01Rik,0.0258223739814196,-0.626692094790578,M
2310009B15Rik,-0.0110425215570813,0.0262010957015764,M
2310022B05Rik,-0.171070380560715,-0.116436060235528,M
2900026A02Rik,-0.0370708997617428,0.138130500693818,M
5033406O09Rik,0.274196747200123,-0.386702226345152,M
5730414N17Rik,0.619222554593425,0.350206143487412,F
9130409I23Rik,0.00656913230259942,-0.646247788707701,M
Aadat,-0.659163888583128,-1.17058245735294,M
Aass,-0.370403925849667,0.0747096194106764,F
Abca3,0.296118789366449,0.78604484860241,F
Abca8b,0.188556027109634,0.303255067870197,F
Abca9,-0.0210396779038891,-0.0150930763673526,F
Abcb10,0.160350171366158,-0.217414930390998,M
Abcb11,0.183376229113466,0.112063031907256,F
Abcb4,-0.178115784768867,-0.652389999087444,M
Abcc4,0.0431068677388847,0.470917778028446,F
Abcd2,0.795023777716681,2.51714985237825,F
Abcd3,-0.260015440071528,-0.553519821942179,M
Abcg2,-0.131347404968366,-0.970839085490118,M
Abcg5,0.0673813899638859,0.430365976835943,F
Abcg8,-0.0463447031300396,0.122073823478227,F
Abhd15,-0.661596082685389,-0.0012181843994252,M
Abhd17b,-0.433147514312927,-0.0695036064747179,M
Abhd2,-0.00635182978086489,1.65726273161758,F
Abi2,-0.0335562921531149,0.428534231160744,F
Abitram,0.394596335533273,0.426961949805045,F
Abtb2,0.773574799520983,0.112553261843042,F
Acaa1a,-0.319071105296174,-0.515855885223612,M
Acaa1b,-0.000312461317977189,-0.227806741163495,M
Acat3,0.226329554535074,0.297078140711762,F
Acnat1,0.34412734609797,0.418409436744542,F
Acnat2,0.94850579968151,2.58261331328682,F
Acot3,-1.52580795365279,3.5776970076708,F
Acot4,-0.562459693347878,1.44170564868366,F
Acot8,-0.287085860015053,-0.518512647378471,M
Acox1,-0.404656398777486,-0.435257707267881,M
Acox3,-0.112481971714013,-0.582052983915332,M
Acsf2,-0.0237033105869961,-0.396159223539191,M
Acsl1,-0.428434052741956,-0.34856341765613,M
Acsl3,0.761382908450759,0.232330721901147,F
Acss3,-0.101913626489695,0.803531266097444,F
Actb,0.473776103741252,0.467703691573113,F
Actg1,0.368838089650664,0.466330246731758,F
Acyp1,-0.245743981673976,-0.292797143972962,M
Adam23,-0.0634151310132914,0.0315758890723148,F
Adamts13,-0.121204442255166,0.0809469618963617,F
Adamts2,-0.267784002741519,0.158081854817167,F
Adamtsl4,-0.235685156472267,0.244690237102686,F
Adcy5,-0.0114968794477493,0.320068809941123,F
Adcy6,-0.660325116736877,-0.393736284808005,M
Adgra2,-0.239136877775687,0.301022213120575,F
Adgre1,-0.0832522489072189,0.354138659655766,F
