symbol,Direction
Napsa,F
Slc7a12,F
Serpina1f,F
Cdh6,F
Kcnk1,F
Abcb1b,F
Abcb1a,F
Rdh16f2,F
Gsta4,F
Tmem37,F
Hpd,F
Cadps2,F
Nrp1,F
Lin7a,F
Wfdc2,F
Foxq1,F
Stard4,F
Ldlr,F
Aadat,F
Dpys,F
4833411C07Rik,F
Nfil3,F
Prlr,F
Slc22a29,F
Akr1c19,F
Erbb4,F
Adgrb3,F
Cped1,F
Slc22a27,F
Ugt1a10,F
Elovl6,F
Gm53,F
Mgat4a,F
Cyp4a14,F
Gsta2,F
Akt3,F
Zfp385b,F
Slit2,F
Lonrf3,F
Kynu,F
Anxa6,F
Prom1,F
Tspan7,F
Alcam,F
Nek6,F
Sim1,F
Gm16010,F
Ddc,F
Gm8126,F
Spc25,F
Spp1,F
Fgf10,F
Gimap8,F
ccdc198,F
Myof,F
Cyp2c23,F
Pde4b,F
Aldh1a1,F
Bmp1,F
Rusc2,F
Nrg1,F
Cytip,F
Kyat3,F
Prickle1,F
Oat,F
Cry1,F
Scd1,F
Id4,F
Utrn,F
B3galnt1,F
Apob,F
Hoxb9,F
Spns2,F
1700042O10Rik,F
Ugt1a6a,F
Dsg2,F
Elovl2,F
Abcc4,F
D7Ertd443e,F
Gm13412,F
Gm49961,F
Slc22a23,F
Epb41l4a,F
Kcnip2,F
Acnat1,F
Ror2,F
Gstt1,F
Vav3,F
Gm40663,F
Slc35f1,F
9530026P05Rik,F
Abat,F
Gm42439,F
Gm1604a,F
Ank,F
Gm45083,F
Abcc3,F
C030029H02Rik,F
Gm30551,F
Enox1,F
Gldc,F
Dapk2,F
Pknox2,F
Slc17a2,F
Tle2,F
Gm31369,F
G630018N14Rik,F
Grhl2,F
Cebpd,F
Eva1c,F
Tgfb2,F
Acsl1,F
Daw1,F
Hsd17b14,F
Alkal2,F
Capg,F
Nkain1,F
Gbp3,F
Apela,F
Bnc2,F
Mageb18,F
Plxna2,F
Ston2,F
Spidr,F
Socs2,F
Car2,F
Ceacam1,F
Cish,F
Folh1,F
Arg2,F
Cbr1,F
Slc22a8,F
Padi2,F
Gm20400,F
Rad51ap2,F
Mdfic,F
Radx,F
Trim46,F
Sh2d4b,F
Pmepa1,F
Pde11a,F
Flvcr1,F
Large1,F
Gm44764,F
Hao2,F
Slc40a1,F
Cyfip2,F
Irx5,F
Setd4,F
Acnat2,F
Prok1,F
4930594M22Rik,F
Dnm1,F
Kcnh1,F
Nxpe3,F
Nr1i2,F
Cp,F
Pcolce2,F
Plcxd2,F
Gm47771,F
Lgals12,F
Fam163a,F
Maats1,F
Lrp8,F
Mapkapk3,F
Ttr,F
Rin3,F
Ceacam2,F
Pi4k2b,F
Slc2a1,F
Cyp2d26,F
Dok6,F
AU020206,F
Tanc1,F
Sntg2,F
Lyplal1,F
9130204K15Rik,F
Efhd1,F
Ncald,F
Gm50337,F
Fndc3a,F
Prodh2,F
8430426J06Rik,F
Vgll4,F
Gprc5b,F
Klk1,F
Agtr1a,F
2310014F06Rik,F
Magi3,F
Gm16685,F
Msra,F
A4galt,F
Ahnak,F
4930414F18Rik,F
Inpp5a,F
Il13ra1,F
Vstm5,F
Diaph1,F
Igfbp7,F
Ehhadh,F
Itga6,F
Slc51b,F
H2-Ab1,F
Gm7854,F
Pdilt,F
Gm43625,F
Gm10451,F
Snx12,F
Mcoln2,F
Ggact,F
Shmt1,F
Slc13a3,F
Gm39033,F
Cpn1,F
2610307P16Rik,F
Ppm1l,F
Arpc1b,F
Mylip,F
Misp,F
Trpm3,F
Cyp2j13,M
Chst11,M
Ugt8a,M
Slc22a30,M
Slc22a28,M
Fchsd1,M
Gm11290,M
Slc7a13,M
Chrna4,M
Slc34a3,M
Trdn,M
Wdr81,M
Doc2g,M
Timd2,M
Cyp7b1,M
Ces1f,M
Mast3,M
Gm10845,M
Cyp4a12a,M
Serpinf2,M
C730027H18Rik,M
Slco1a1,M
Gm33906,M
Gm20713,M
Col19a1,M
Atp11a,M
Ugt2b37,M
Ldc1,M
Gm15441,M
Pzp,M
Adh6b,M
BC049987,M
Hecw2,M
Cd36,M
Col6a6,M
Ugt2b38,M
Csgalnact1,M
Cyp2d9,M
Acsm3,M
Cntnap5a,M
Gm15348,M
Arrdc2,M
Degs2,M
Sdc2,M
Ldhd,M
Sh3bp2,M
Chst7,M
Fmo5,M
Tc2n,M
Gm15350,M
Snx31,M
Alk,M
Ftcd,M
Osbp2,M
Gm5820,M
Acy3,M
Il34,M
C8a,M
