symbol,Direction
Xist,F
Tsix,F
Ugt1a2,F
Pgm5,F
Gm44127,F
Napsa,F
Slc7a12,F
Serpina1f,F
Akr1c18,F
Cdh6,F
Kcnk1,F
Igkc,F
Abcb1b,F
Gm27200,F
Abcb1a,F
Hspa13,F
Rdh16f2,F
Tmsb4x,F
S100a11,F
Gm10639,F
Anks1b,F
4933417A18Rik,F
Tmsb10,F
Gsta4,F
Tmem37,F
Gm10130,F
Gm16091,F
Spry4,F
Bdh1,F
Mir133a-1hg,F
Gm47438,F
Anxa13,F
Pcsk9,F
Hpd,F
Gm2093,F
B430010I23Rik,F
Gm46367,F
Prkd1,F
Bbs12,F
Gm43466,F
Atp6v1g3,F
Plaat3,F
Gm50103,F
Gm28370,F
Gm43848,F
Cadps2,F
Stox2,F
Gypc,F
S100a10,F
Stn1,F
Krt222,F
Gm14167,F
Asap2,F
S100g,F
2010204K13Rik,F
AY036118,F
Fut10,F
Msmo1,F
Nrp1,F
Hmgn5,F
Rel,F
Aldh1a2,F
Ica1,F
Spata33,F
Plac8,F
Lin7a,F
Gm44148,F
Wdr38,F
9130017K11Rik,F
Wfdc2,F
Spats2l,F
Epha4,F
Tmtc4,F
Ppp1r1a,F
Sp5,F
Gstp1,F
Fzd3,F
Eml4,F
Kitl,F
Gm50138,F
Foxq1,F
Gm17435,F
Sfrp1,F
Gm20536,F
Gm14963,F
A130014A01Rik,F
Pgam2,F
Nnat,F
Zdhhc2,F
Gm21847,F
Gm44710,F
Cyp51,F
Jrkl,F
Gm46210,F
Dcbld2,F
Gm10778,F
Filip1l,F
Gm49708,F
Sardhos,F
Gm10125,F
Stard4,F
Stk17b,F
Gm16000,F
Gm9725,F
Cage1,F
2900009J06Rik,F
Celf2,F
Rundc3b,F
Gm42604,F
Gm47644,F
Apcdd1,F
Cdon,F
Ifitm2,F
Lzts1,F
Cryab,F
Gm9993,F
Gm26954,F
Zswim9,F
Gm10791,F
Wfdc15b,F
C030034I22Rik,F
Slain1,F
Gm50240,F
Aadat,F
6430590A07Rik,F
Zswim7,F
Gm17090,F
Ube2cbp,F
Dpys,F
Aoc1,F
Dnajc30,F
Tmed3,F
Klhl13,F
2810405F17Rik,F
4833411C07Rik,F
Nfil3,F
Bdnf,F
Ttll7,F
Ostc,F
Zfp119a,F
Dnajb9,F
Jph1,F
Khdrbs3,F
Yif1b,F
Gm9856,F
Gm26724,F
Rai2,F
Atp13a4,F
Snd1,F
Gm44040,F
Tmem263,F
Pkd1l1,F
Gm16168,F
3222401L13Rik,F
Raph1,F
1700061H18Rik,F
Prlr,F
Slc22a29,F
Akr1c19,F
Bhmt,F
Erbb4,F
Frmd4a,F
Adgrb3,F
Gm13944,F
Mgst1,F
Cped1,F
Serpine2,F
Slc22a27,F
Ugt1a10,F
Gm42716,F
Ugt2b34,F
Elovl6,F
Gm53,F
Mgat4a,F
Cyp4a14,F
Gsta2,F
Pde3b,F
Akt3,F
Zfp385b,F
Tigd2,F
Lrit3,F
Slit2,F
Lonrf3,F
Kynu,F
Gm49521,F
Anxa6,F
Prom1,F
Gm16185,F
Gm9732,F
Fam107a,F
Gm15640,F
Tspan7,F
Marc1,F
Zfp128,F
Alcam,F
Nek6,F
Rhobtb3,F
Gm17025,F
Hdc,F
Sim1,F
Gm8251,F
Gm47096,F
Gm16010,F
Ddc,F
Spc25,F
Tacc1,F
Spp1,F
Tmem218,F
Gm26936,F
Fgf10,F
Dhrs7,F
Tmtc2,F
Gimap8,F
Asrgl1,F
Eid2b,F
ccdc198,F
Dio1,F
Igf2bp3,F
Gm5524,F
Snx10,F
Myof,F
Cyp2c23,F
Sft2d3,F
Fam3c,F
Fem1a,F
Insc,F
Tmem52b,F
B230354K17Rik,F
Gm26930,F
Pde4b,F
Sh3bgrl,F
Nxph1,F
Aldh1a1,F
Gm7457,F
Gm28836,F
Cldn1,F
Sdf2l1,F
R3hdml,F
Gm20646,F
Utp14b,F
Bmp1,F
Rusc2,F
Mars2,F
BB365896,F
Nrg1,F
Pid1,F
Kcnip4,F
Gm15731,F
Cytip,F
Tshz3,F
Kyat3,F
Prickle1,F
Oat,F
Ntn4,F
Fads6,F
Cry1,F
Ppa1,F
Zfp324,F
Wipf1,F
Gm19541,F
Mmgt2,F
Irs1,F
Clic6,F
Gm15756,F
Scd1,F
Ifitm3,F
Id4,F
Rasa3,F
Maoa,F
Utrn,F
Gm4258,F
Gm17259,F
Gm10032,F
B3galnt1,F
Tfpi2,F
Pls3,F
Gm49741,F
Apob,F
Hoxb9,F
Taf7,F
Gm14762,F
9430038I01Rik,F
Spns2,F
Gm46218,F
Rcn2,F
Nrep,F
Kcnq1ot1,F
Gm47320,F
Tmem50b,F
4930586N03Rik,F
Atxn7l3b,F
Homer2,F
Gm47106,F
Gm15594,F
1700042O10Rik,F
Flrt1,F
Ugt1a6a,F
Cd59a,F
Gm17484,F
Baat,F
Gstm1,F
B230303O12Rik,F
Dsg2,F
Gm13561,F
Zfp532,F
Unc13c,F
Tle1,F
Rnf43,F
Gxylt1,F
4930545L23Rik,F
Gm4890,F
Manea,F
Amer1,F
Gm14399,F
Elovl2,F
Zbtb12,F
Fdps,F
Gm48960,F
5430402O13Rik,F
Acss3,F
Gm28286,F
Abcc4,F
D7Ertd443e,F
Sptlc3,F
Pwwp3b,F
Gm13412,F
Gm42869,F
Gm10373,F
Gm49961,F
St3gal4,F
Ero1lb,F
Acsl4,F
Asap1,F
Slc22a23,F
Gm33373,F
Tmem160,F
Zfp329,F
Mmd,F
Abra,F
Tcaf1,F
A230072E10Rik,F
Ccdc106,F
Uck2,F
Nexn,F
Cfap77,F
Tspan8,F
Dap,F
Srl,F
Ackr4,F
Cmss1,F
Angptl3,F
Tceal9,F
Senp8,F
Rnf32,F
Cfap299,F
A830008E24Rik,F
5330439K02Rik,F
Chd7,F
Fahd1,F
Cdkl1,F
Gm45509,F
Gm45250,F
Ttn,F
Epb41l4a,F
Cspg4,F
Kcnip2,F
Abhd6,F
Mrpl23,F
Tnfsf15,F
Arntl,F
Acnat1,F
Ror2,F
Sesn3,F
Slc10a1,F
Gstt1,F
Vav3,F
Auts2,F
Plch1,F
Gm40663,F
Eid1,F
Zbtb38,F
Taf9b,F
Armcx5,F
Mgst3,F
Tmx4,F
H3f3a,F
Zcwpw2,F
Pax9,F
Fam13a,F
Fndc9,F
Fbp2,F
Epm2a,F
Gm26879,F
Coa7,F
Lrrc4,F
Gm4524,F
4930533K18Rik,F
Slc35f1,F
Stk39,F
2310058D17Rik,F
Olfml1,F
Krt7,F
Ccdc149,F
Sub1,F
Abi2,F
Rab30,F
Clpb,F
Vamp7,F
9630028H03Rik,F
Mfap3,F
Pnp,F
Prps2,F
9530026P05Rik,F
Gm44686,F
Asb5,F
Pde8b,F
Asb7,F
Sh3bgrl2,F
Twsg1,F
Gm17545,F
Tenm4,F
1300017J02Rik,F
Pclo,F
Cttnbp2,F
Tpd52l1,F
Sap18,F
S100a6,F
Dnm3,F
Sfr1,F
Rsph3a,F
Mrps25,F
A630089N07Rik,F
Abat,F
Gm42439,F
Zscan22,F
Zeb1,F
Kank2,F
Gm15345,F
Gm1604a,F
Ank,F
Gm15788,F
Gm17753,F
Trim32,F
Fam20a,F
Sept11,F
Calm1,F
Fam162a,F
Meis2,F
Gm41792,F
Nbea,F
Fam241a,F
Erh,F
2810402E24Rik,F
Psd3,F
Mthfd2l,F
Tmem213,F
Fam210b,F
Gm26555,F
Pgm2l1,F
A1cf,F
Casp7,F
B2m,F
Zfp970,F
Gm11944,F
Gm45083,F
Prag1,F
Cobl,F
Gm11084,F
Pcdh17,F
Abcc3,F
C030029H02Rik,F
Gm30551,F
Enox1,F
Gldc,F
Gm29337,F
Gm49003,F
D030045P18Rik,F
Dapk2,F
5730420D15Rik,F
Pknox2,F
Slc17a2,F
Tle2,F
Gm31369,F
Klhl29,F
G630018N14Rik,F
Slit3,F
Grhl2,F
Cebpd,F
Ntf3,F
Arfgef3,F
Eva1c,F
Tgfb2,F
Gm30613,F
Acsl1,F
Ptpn5,F
Ccdc170,F
Daw1,F
Hsd17b14,F
Slc16a14,F
Alkal2,F
4921539H07Rik,F
Capg,F
Nkain1,F
1700019D03Rik,F
Gm36363,F
Cdca7l,F
Dscam,F
Pik3c2g,F
Ins2,F
Slc7a8,F
Speer4cos,F
Gbp3,F
Apela,F
Bnc2,F
Mageb18,F
E130008D07Rik,F
Plxna2,F
Gm43391,F
Unc5c,F
Clec2h,F
Gm6994,F
Cask,F
Cgnl1,F
Ston2,F
Spidr,F
Gm10283,F
Trim6,F
Socs2,F
Igsf11,F
Car2,F
Gm38025,F
E330021D16Rik,F
Ceacam1,F
Rrh,F
Gatm,F
Cish,F
Gm43646,F
Gm46516,F
Pah,F
Adra1a,F
Slc5a12,F
Folh1,F
Npas3,F
2810032G03Rik,F
Itpr2,F
Arg2,F
Cacna1g,F
Col8a1,F
Cbr1,F
Slc22a8,F
Gm13660,F
Spp2,F
Fam83b,F
Nipal2,F
Gm960,F
Steap3,F
Mboat2,F
Zfhx3,F
Mafb,F
Agmo,F
Padi2,F
Acss1,F
Gm49907,F
Bcl2,F
Gm32926,F
D630008O14Rik,F
0610040J01Rik,F
Rad51ap2,F
Ncam2,F
Mdfic,F
Plekhm3,F
Radx,F
Trim46,F
Sh2d4b,F
Pmepa1,F
Pde11a,F
Flvcr1,F
Plppr4,F
Tbxas1,F
Large1,F
Gm44764,F
Alpl,F
Ankmy1,F
Mmp28,F
Sntb1,F
Nup62cl,F
Hao2,F
Slc40a1,F
Cyfip2,F
Irx5,F
Setd4,F
Acnat2,F
Prok1,F
Sh3bp4,F
4930594M22Rik,F
Laptm4b,F
Arhgef26,F
D630023F18Rik,F
Dnm1,F
Iqgap2,F
Gm16876,F
Gm49575,F
Kcnh1,F
Nxpe3,F
Nr1i2,F
Cp,F
Gm36011,F
Pcolce2,F
Ly6f,F
Plcxd2,F
Cntln,F
Acvr1,F
Ccdc160,F
Smad6,F
Gpat3,F
Gm47448,F
Klhl3,F
Ston1,F
Gm28863,F
Prr5l,F
L3mbtl4,F
Gm7932,F
Gm48500,F
Gm47771,F
Ppp2r2b,F
Ccdc141,F
Gm28040,F
Lgals12,F
Lipa,F
Stpg2,F
Hpgd,F
Akap17b,F
Fam163a,F
Stamos,F
Maats1,F
Stk32b,F
Epcam,F
Bcl11a,F
Calb1,F
P2ry2,F
Lrp8,F
Angpt1,F
Hic2,F
Pfn2,F
Sytl4,F
Gm9946,F
Cfap61,F
Mapkapk3,F
Enpp6,F
Gm16759,F
Nt5c3b,F
Pvalb,F
Ttr,F
Cpne2,F
Magi2,F
Crnde,F
Gm17231,F
Rin3,F
Aqp4,F
Ceacam2,F
Pi4k2b,F
Fam222a,F
Slc2a1,F
Hist2h4,F
Cyp2d26,F
Dok6,F
Gm43445,F
Gm41162,F
AU020206,F
Tanc1,F
Gpr108,F
Gm49527,F
Cldn7,F
Lyplal1,F
Gm38304,F
Kctd14,F
Igf2,F
Fsip1,F
Nox4,F
Dusp14,F
9130204K15Rik,F
Efhd1,F
Sobp,F
4930594M22Rik.1,F
Acot7,F
E130308A19Rik,F
Ncald,F
Gm50337,F
Mpzl2,F
Gsto1,F
Cnbd1,F
Cyp2r1,F
Adam12,F
Klhl25,F
Fndc3a,F
Prodh2,F
Intu,F
8430426J06Rik,F
Pde7b,F
Camk2b,F
Camk2d,F
Cd24a,F
Rhpn2,F
Gm11906,F
Vgll4,F
4930593A02Rik,F
Gng11,F
Zfp516,F
Arhgap31,F
1700028E10Rik,F
Mro,F
Rnf219,F
Gm13963,F
Iqca,F
Gm41804,F
Gprc5b,F
Galnt12,F
Ccnd1,F
Gm16311,F
Klk1,F
Arhgef6,F
Cmya5,F
Gm18280,F
Igfbp1,F
Agtr1a,F
Osgin2,F
Ankrd31,F
Ap1m2,F
Eml6,F
Gpr85,F
Arhgap6,F
Spty2d1,F
2310014F06Rik,F
Rxylt1,F
Magi3,F
Gm12927,F
Gm10135,F
Hist1h2be,F
Cyp2a5,F
Sec14l3,F
Rassf8,F
Gm16685,F
Pced1b,F
Sh3kbp1,F
Msra,F
Emx2os,F
Samd9l,F
Mta3,F
A4galt,F
Gm12678,F
Ahnak,F
Sqor,F
4930414F18Rik,F
Inpp5a,F
Myo1d,F
Ppm1k,F
Cdc42se2,F
Gm28376,F
Ovol2,F
Hipk2,F
Gcm1,F
March3,F
Adcy10,F
Il13ra1,F
Gm17196,F
Kctd21,F
Tmem132a,F
Zfp973,F
Adarb1,F
Rasl12,F
Vstm5,F
Stim1,F
Tll1,F
Klf7,F
Crybg3,F
Gpr137c,F
4932411K12Rik,F
Cela1,F
Rab38,F
Gm19276,F
Mt1,F
Bcap29,F
Exph5,F
Ahi1,F
Creb3l1,F
Diaph1,F
Chchd6,F
Gm11342,F
Ttll5,F
Sp4,F
Nav2,F
Gm28807,F
Etv1,F
Stpg1,F
Kifap3,F
Igfbp7,F
2310043O21Rik,F
Dnajc6,F
Ptprd,F
Prkcq,F
Wdr72,F
Antxr2,F
4930556J24Rik,F
Itgb6,F
Spire1,F
Rabif,F
Lipc,F
Nmnat3,F
Ehhadh,F
Itga6,F
Slc13a2os,F
Mlh3,F
Gm30054,F
Slc51b,F
L3hypdh,F
Hnf4aos,F
Fabp4,F
Idh1,F
Litaf,F
2610037D02Rik,F
H2-Ab1,F
Car12,F
Cerk,F
Lrrfip1,F
Gpr68,F
Gm14372,F
Rab2a,F
Akap7,F
Sox6,F
Gm20110,F
Srgn,F
Gm36231,F
Gm7854,F
Pjvk,F
Adgrf5,F
4930432B10Rik,F
Prep,F
Ro60,F
Pdilt,F
Nox1,F
Marveld3,F
Triqk,F
Rarb,F
Mettl9,F
Gm43625,F
Gm10451,F
Gm42701,F
Epb41l4b,F
Scfd2,F
Gm26588,F
Rsad2,F
Trim17,F
Phlpp1,F
Npnt,F
Tek,F
Snx12,F
Tspan12,F
Gm6225,F
Slc4a11,F
9630015K15Rik,F
Ptpre,F
Mef2c,F
Gm1123,F
Palld,F
Catspere2,F
Zfp704,F
Mgp,F
Acmsd,F
1300014J16Rik,F
1700109K24Rik,F
Ndufc2,F
Zmynd12,F
Prdm5,F
Rhbdd1,F
Atxn1,F
Dync2li1,F
Fam129a,F
Zfp85os,F
4732440D04Rik,F
Vegfc,F
Egf,F
Mcoln2,F
Bckdhb,F
E330009J07Rik,F
Prss12,F
Hoxb5os,F
Gm10790,F
2610021A01Rik,F
Ikzf2,F
Sms,F
Zbed4,F
Glce,F
4933405D12Rik,F
Gm43259,F
Paqr5,F
Ggact,F
Syt2,F
Etnk1,F
Shmt1,F
Podxl,F
Gm29571,F
Rapgef5,F
Cmah,F
Hpgds,F
Gm30881,F
Lrp12,F
Dact2,F
Jam3,F
Slc13a3,F
