symbol,M_0,M_2,M_4,M_8,M_79,F_0,F_2,F_4,F_8,F_79,cluster,color
Lypla1,-0.97,-0.64,0.84,2.08,0.17,-1.18,-0.57,0.44,0.5,-0.67,1,#FF9900FF
Adhfe1,-1.28,-0.8,1.01,1.58,0.55,-1.36,-0.73,0.55,0.5,-0.02,1,#FF9900FF
Lactb2,-1.06,-0.91,0.55,1.79,0.97,-1.2,-0.86,0.42,0.49,-0.2,1,#FF9900FF
Gm38319,-0.5,-0.17,0.4,0.17,2.27,-1.15,-0.78,0.46,-1.06,0.35,2,#99FF00FF
Rdh10,-0.88,0.17,0.13,2.26,1.12,-0.78,-0.49,-0.16,-0.62,-0.74,3,#00FF33FF
Mcm3,1.69,0.43,-0.45,-0.81,-0.8,1.63,0.47,-0.64,-0.77,-0.75,4,#00FFFFFF
Smap1,-0.18,-0.2,0.83,1.77,1.3,-0.68,-0.48,-0.08,-0.9,-1.38,3,#00FF33FF
Fam135a,1.66,-0.05,-0.6,-0.13,0.24,1.76,-0.29,-0.45,-1.36,-0.77,4,#00FFFFFF
Gm5524,-1.21,-0.34,0.6,-0.33,-0.32,-1.23,-0.42,1.39,1.8,0.04,5,#0033FFFF
Mgat4a,0.14,1.01,-0.69,-1.5,-1.21,-0.8,0.97,1.14,0.93,0.01,6,#9900FFFF
Gulp1,1.31,1.18,-0.74,-0.89,-1.02,0.63,1.35,-0.33,-0.55,-0.93,4,#00FFFFFF
Cavin2,-1.17,0.24,-0.15,-0.55,-0.56,-1.6,0.97,0.47,1.64,0.73,5,#0033FFFF
Gls,-1.24,-0.2,0.8,1.72,0.09,-1.55,-0.53,0.9,0.41,-0.38,1,#FF9900FF
Hecw2,-1.26,0.6,-0.55,-0.7,0.21,-1.49,0.72,1.1,1.5,-0.12,7,#FF0099FF
Coq10b,-1.19,-0.87,0.8,1.75,0.27,-1.16,-0.78,0.02,1.05,0.11,1,#FF9900FF
Hspd1,-0.83,-0.9,0.61,2.12,0.72,-1.06,-0.8,0.03,0.47,-0.37,1,#FF9900FF
Rftn2,0.83,1.26,-0.71,-0.98,-0.99,0.63,1.69,-0.61,-0.43,-0.69,4,#00FFFFFF
Casp8,-1.44,-0.24,0.27,2.13,0.69,-1.25,-0.16,-0.04,-0.28,0.32,1,#FF9900FF
Tmem237,-0.45,-0.56,0.33,2.62,0.22,-0.76,-0.47,-0.31,0.13,-0.73,1,#FF9900FF
Gm4208,-0.72,-0.69,0.58,2.19,1.19,-0.73,-0.71,-0.38,-0.26,-0.48,3,#00FF33FF
D630023F18Rik,-1.24,-0.93,0.45,0.16,0.64,-1.24,-0.98,1.33,0.65,1.14,5,#0033FFFF
Erbb4,0.72,1.42,0.26,-1.17,-1.41,-0.15,1.03,0.77,-0.35,-1.12,6,#9900FFFF
Ikzf2,0.58,1.04,-0.66,-1.57,-0.21,-1.72,0.46,0.55,0.8,0.74,6,#9900FFFF
Fn1,1.32,1.19,-0.66,-0.85,-0.82,1.46,0.53,-0.63,-0.79,-0.75,4,#00FFFFFF
Pecr,-0.96,-0.74,0.86,2.16,0.68,-0.97,-0.73,-0.01,0.09,-0.38,1,#FF9900FF
Tmem169,-0.88,-1.09,1.5,1.73,0.48,-0.6,-0.81,0.46,-0.43,-0.36,3,#00FF33FF
Vil1,-1.18,-0.88,0.56,1.19,1.59,-1.07,-0.99,0.18,-0.05,0.65,1,#FF9900FF
Ttll4,1.12,-0.56,-0.74,0.45,1.84,0.69,-0.93,-0.76,-1.18,0.07,2,#99FF00FF
Cyp27a1,-0.92,-0.82,-0.37,0.81,1.77,-0.77,-0.89,-0.4,0.18,1.41,2,#99FF00FF
Prkag3,-0.8,-0.77,-0.32,0.64,2.13,-0.71,-0.78,-0.51,-0.03,1.15,2,#99FF00FF
Stk16,-1.55,-0.87,0.68,1.07,1.26,-0.81,-0.89,0.09,-0.08,1.09,1,#FF9900FF
Des,-1.16,-0.85,-0.66,-0.52,0.83,0.98,-0.52,-0.27,0.12,2.05,2,#99FF00FF
Farsb,-0.02,-0.68,0.17,2.48,0.8,-0.72,-0.76,-0.53,-0.17,-0.57,3,#00FF33FF
BC035947,-0.77,-0.81,-0.04,1.8,1.75,-0.79,-0.79,-0.4,-0.11,0.16,1,#FF9900FF
Mogat1,-0.64,-0.6,0.12,2.56,0.76,-0.65,-0.6,-0.35,-0.19,-0.42,3,#00FF33FF
Kcne4,-0.41,0.76,-0.55,-1.41,-0.84,-0.1,1.98,0.36,0.87,-0.66,6,#9900FFFF
Wdfy1,-0.26,-0.38,-0.38,-0.36,2.52,-0.43,-0.41,-0.53,-0.74,0.98,2,#99FF00FF
Pid1,0.6,1.54,-0.99,-1.1,-0.79,0.93,1.26,-0.77,-0.64,-0.03,4,#00FFFFFF
Fbxo36,-1.08,-0.72,0.45,2.16,0.71,-1.14,-0.68,0.14,0.32,-0.17,1,#FF9900FF
Slc16a14,-1.04,-0.93,0.28,1.7,1.35,-1.03,-0.97,-0.1,0.37,0.37,1,#FF9900FF
B3gnt7,-0.24,0.71,-0.03,-1.42,-1.17,-0.44,1.98,-0.54,0.58,0.58,6,#9900FFFF
Kcnj13,-1.43,-0.29,-0.14,0.4,-0.3,-1.29,1.33,0.13,1.77,-0.18,5,#0033FFFF
Ugt1a10,-0.39,0.05,0.7,-0.75,-0.76,-0.48,0.08,2.54,-0.36,-0.62,7,#FF0099FF
Ugt1a7c,-0.93,-0.87,-0.06,1.38,1.91,-0.95,-0.86,-0.18,0.35,0.21,1,#FF9900FF
Ugt1a2,-0.24,-0.7,-0.84,-0.92,-0.47,-0.28,-0.61,0.7,1.48,1.88,5,#0033FFFF
Spp2,-0.84,1.21,0.17,-0.93,-1.04,-0.96,1.92,0.43,0.24,-0.2,6,#9900FFFF
4930434B07Rik,-0.78,-0.77,-0.32,-0.05,0.1,-0.78,-0.77,-0.2,2,1.56,5,#0033FFFF
Per2,0.3,-0.92,0.12,1.08,0.28,1.34,-1.31,-1.69,0.15,0.65,2,#99FF00FF
Gpc1,1.32,-0.01,-0.24,-1.12,-1.24,2.06,-0.2,-0.04,-0.26,-0.26,4,#00FFFFFF
Mab21l4,-1.33,0.28,0.04,-1.03,-0.45,-1.35,0.55,0.82,1.08,1.39,7,#FF0099FF
Slco4c1,-1.02,-0.12,1.14,1.23,0.66,-1.23,-0.2,1.25,-0.64,-1.07,7,#FF0099FF
B230216N24Rik,0.34,-0.57,1.26,0.72,0.66,-0.77,-1.43,1.41,-0.58,-1.03,3,#00FF33FF
Gm29012,-0.81,-0.63,1.33,2.06,0.59,-0.82,-0.57,-0.14,-0.31,-0.69,1,#FF9900FF
Tmem37,-1.1,0.74,-0.72,-0.78,-1.18,-0.91,0.94,0.95,1.01,1.05,6,#9900FFFF
