symbol,WK0,WK2,WK4,WK8,WK79,Sex
Mrpl15,1548.67,1736.71,2105.59,2347.82,1597.25,F
Lypla1,2659.29,5025.12,8914.91,9133.46,4838.76,F
Tcea1,471.08,414.59,428.74,482.75,338.45,F
Atp6v1h,3646.42,5459.74,6138.22,7020.54,4872.91,F
Rb1cc1,533.05,740.8,1044.75,1044.33,724.29,F
4732440D04Rik,57.96,84.63,120.98,98.05,111.64,F
Pcmtd1,823.54,964.56,1510.34,1632.73,1643.66,F
Rrs1,131.51,132.23,180.75,199.37,183.77,F
Adhfe1,2317.99,5483,11923.26,11671.26,9088.98,F
2610203C22Rik,41.92,90.2,56.46,39.13,39.87,F
Vcpip1,484.47,500.05,511.6,463.18,452.38,F
1700034P13Rik,17.12,58.73,101.11,103.86,78.88,F
Sgk3,549.98,613.12,573.63,544.84,454.23,F
Mcmdc2,141.34,25.62,10.2,8.42,8.2,F
Snhg6,877.45,456.92,432.12,362.22,273.12,F
Tcf24,65.66,138.45,144.4,104.59,95.17,F
Cops5,2625.03,2302.56,2499.44,2388.51,1984.2,F
Cspp1,800.88,856.63,1005.12,881.2,832.78,F
Arfgef1,691.71,980.67,1358.87,1445.83,1284.86,F
Prex2,156.49,235.8,171.6,173.31,158.76,F
Sulf1,420.29,146.35,109.47,132.41,178.13,F
Ncoa2,586.62,523.71,620.76,606.86,641.36,F
Gm38380,65.39,27.58,31.84,10.78,21.14,F
Tram1,2831.38,2109.7,2383.4,2457.06,2451.6,F
Lactb2,3225.93,5312.01,13304.27,13712.83,9734.42,F
Gm38319,169.7,222.38,400.33,181.96,394.65,F
Eya1,425.46,8.08,5.68,2.65,6.28,F
Kcnb2,73.82,108.93,9.92,3.15,2.82,F
Terf1,392.97,251.94,235.2,239.88,199.45,F
Sbspon,29.23,22.56,8.55,24.5,59.04,F
Rpl7,8372.73,5580.04,5038.45,5383.49,4816.18,F
Rdh10,357.14,388.53,424.29,373.86,355.61,F
Stau2,685.37,491.98,464.87,432.24,410.48,F
Ube2w,1323.44,2835.09,2897.57,3062.36,2086.78,F
Eloc,2537.67,2863.26,3514.86,3706.46,2279.21,F
Tmem70,460.73,316.24,495.65,467.76,823.26,F
Ly96,137.26,264.23,365.51,315.2,223.16,F
Pi15,141.43,132.76,60.09,27.24,18.24,F
Crispld1,156.66,60.83,67.36,75.91,84.03,F
Tfap2b,1090.8,2140.77,1833.4,2378.8,2770.31,F
Pkhd1,751.03,1406.56,1472.1,1407.87,1639.92,F
Mcm3,3054.09,1687.41,387.29,226.17,244.61,F
Paqr8,70.43,55.87,29.7,38.13,39.65,F
Tram2,1266.98,1210.16,492.61,378.5,345.82,F
Tmem14a,168.91,318.81,356.73,447.31,361.08,F
Gsta3,408.02,1925.19,4581.71,5644.74,4182.1,F
Gm4956,1.62,32.84,169.25,275.81,153.29,F
Ogfrl1,336.94,185.52,200.74,179.93,138.92,F
B3gat2,79.26,166.42,230.06,214.2,253.01,F
Smap1,158.23,163.59,174.38,152.4,141.24,F
Sdhaf4,867,1579.19,2392.57,2567.91,1641.82,F
Fam135a,475.69,307.31,293.8,218.94,268.34,F
Col9a1,63.19,1.02,0,0,0,F
Gm28438,1.7,0.17,1.97,1.44,122.71,F
Lmbrd1,1283.46,2096.35,3078.31,3430.42,2861.3,F
Gm5524,3.4,68.23,214.12,246.58,111.03,F
Phf3,649.28,674.35,674.63,768.78,750.08,F
Ptp4a1,297.98,291.77,231.15,247.09,158.2,F
Prim2,669.77,383.74,174.73,186.32,173.28,F
Rab23,286.81,211.66,218.35,232.71,288.02,F
Bag2,1470.31,772.92,438.84,401.75,394.64,F
Zfp451,584.93,461.45,336.01,293.42,286.84,F
Dst,1432.79,1636.42,2206.87,1945.94,2315.55,F
Gm38157,52.66,5.81,4.85,5.87,6.53,F
Ccdc115,481.03,386.93,384.97,350.05,342.19,F
Imp4,2340.77,2016.27,2186.46,2408.58,2223.01,F
Ptpn18,217.76,217.72,258.73,157.71,274.93,F
Arhgef4,97.3,14.58,12.5,13.91,16.47,F
Fam168b,917.27,848.3,769.77,656.92,523.15,F
Plekhb2,4098.97,6196.94,10452.88,13278.74,13086.4,F
Hs6st1,652.81,875.62,894.08,763.38,759.83,F
Uggt1,853.3,731.68,691.68,625.38,783.18,F
Neurl3,198,144.3,92.95,92.59,141,F
Arid5a,310.14,139.42,74.49,88.92,161.36,F
Kansl3,2527.91,2362.24,2218.19,2348.25,2951.02,F
Lman2l,642.08,900.76,1227.95,1376.77,1428.3,F
Cnnm4,1229.69,2274.73,3783.72,3269.76,2651.43,F
Cnnm3,265.15,261.63,334.51,301.14,324.38,F
Ankrd23,69.4,42.28,25.67,18.08,30.93,F
Ankrd39,264.01,189.25,153.73,133.74,238.69,F
Sema4c,306.76,113.9,40.17,32.76,70.38,F
Cox5b,1517.51,2354.83,3690.06,3313.25,4071.99,F
Actr1b,2892,2946.06,3237.28,3420.39,4423.62,F
Tmem131,502.11,407.23,373.37,363.81,424.79,F
