Category	ID	Title (or Source)	Verbose ID	Core-F_logP	Core-M_logP	All-M_logP	All-F_logP	Core-F_GeneSet	Core-M_GeneSet	All-M_GeneSet	All-F_GeneSet
GO: Biological Process	GO:0019752	carboxylic acid metabolic process	GeneOntologyBiologicalProcess_GO:0019752_carboxylic acid metabolic process	10.0	10.0	10.0	10.0	AADAT,ACOT7,ACSL1,ALDH1A2,ANGPTL3,ARG2,BAAT,BHMT,CBR1,CEACAM1,CYP1A1,DIO1,ELOVL2,ELOVL6,FABP1,GSTO1,HACL1,HAO2,HPD,HPGD,KYNU,ME2,OAT,PRODH2,SCD,SLC22A13,SLC5A6	AACS,AASS,ACAT1,ACOT12,ACOX1,ACOX3,ACSM2B,ACSM3,ACSS2,ADH1A,ALDH3A2,AMACR,AMDHD2,APOA4,ASPG,BCO2,BLMH,CBS,CD36,CROT,CSAD,CSGALNACT1,CYB5A,CYB5R3,CYP2E1,CYP7B1,DGLUCY,EPHX2,FTCD,GGT1,GPT,GPX1,HACD2,HTT,HYKK,IDO2,KYAT1,LDHD,ME1,NR1H4,NUDT19,ODC1,PECR,PEPD,PHYH,PIPOX,PRKAG3,PTGR1,SHMT2,SLC25A21,TST,ZBTB20	AACS,AASS,ABCC2,ABCD3,ABHD3,ACADS,ACAT1,ACMSD,ACOT12,ACOX1,ACOX3,ACSM2B,ACSM3,ACSS2,ADH1A,ADHFE1,AFMID,AGXT2,AHCY,AKR1A1,AKR1D1,ALDH3A2,ALDH8A1,AMACR,AMDHD2,APOA4,ASPG,BCAT1,BCO2,BHMT2,BLMH,CBS,CD36,CMAS,COMT,CPT2,CREM,CROT,CSAD,CSGALNACT1,CTPS1,CYB5A,CYB5R3,CYP27A1,CYP2E1,CYP7B1,DALRD3,DAO,DDAH1,DGLUCY,DHFR,ECHDC2,EHHADH,EPHX2,FAAH,FAH,FARSB,FGFR4,FOLR1,FTCD,GCLC,GCLM,GGT1,GLS,GPT,GPX1,GRHPR,GSS,HAAO,HACD2,HNF1A,HTT,HYI,HYKK,IDO2,KYAT1,LDHA,LDHD,LPIN1,LPL,LYPLA1,ME1,MFSD2A,MLXIPL,MRS2,MYC,NR1H4,NUDT19,ODC1,OSBPL9,PDK3,PECR,PEDS1,PEPD,PEX5,PHYH,PIPOX,PLAA,PLOD2,PM20D1,PRKAG3,PSEN1,PSME4,PTGR1,QPRT,RARS2,RDH10,SHMT2,SLC16A1,SLC25A21,SLC27A2,SPR,TST,TXNRD1,VNN1,XBP1,XYLB,ZADH2,ZBTB20	AADAT,ABCC1,ACACA,ACACB,ACOT7,ACSL1,ACSL5,ACSM1,ADIPOQ,ALDH18A1,ALDH1A2,ALDOC,AMDHD1,ANGPTL3,APOC1,ARG2,ASRGL1,ATP8B1,BAAT,BCAT2,BHMT,C1QTNF2,C3,CAV1,CBR1,CEACAM1,CLN3,CYP1A1,CYP2F1,CYP39A1,CYP4V2,DDC,DIO1,ELOVL2,ELOVL6,EPHX1,FABP1,FABP4,FABP5,FASN,FOLH1,GFPT2,GGT6,GLUL,GSTM2,GSTO1,HACD4,HACL1,HAO2,HDC,HK2,HPD,HPGD,IGF1,INSIG1,KYAT3,KYNU,LIPE,LTC4S,ME2,MGLL,MGST3,NAALAD2,NOX4,NPL,NUPR1,OAT,PDK1,PDPN,PFKFB3,PGM2L1,PKM,PLA2G15,PLA2G4A,PLA2G5,PNPLA3,PON3,PPARG,PPARGC1A,PRKAR2B,PRODH2,PSMB10,PSMB9,PTGDS,PTGES,PTGS1,SCD,SCD5,SHMT1,SLC1A3,SLC22A13,SLC27A1,SLC5A6,SLC7A7,TBXAS1,UGT1A10,UROC1
GO: Biological Process	GO:0044255	cellular lipid metabolic process	GeneOntologyBiologicalProcess_GO:0044255_cellular lipid metabolic process	10.0	10.0	10.0	10.0	ACOT7,ACSL1,AGMO,ALDH1A2,ANGPTL3,ANGPTL8,APOE,BAAT,CBR1,CEACAM1,CYP1A1,ELOVL2,ELOVL6,ETNK1,FABP1,GDPD1,GPAT3,HACL1,HAO2,HPGD,ORMDL3,PLBD1,PLPP5,PLPPR4,SCD,SLC22A13,SPTLC3,ST3GAL2,STRA6,TMEM86B	AACS,ACAT1,ACOT12,ACOX1,ACOX3,ACSM2B,ACSM3,ACSS2,ADH1A,AGPS,ALDH3A2,AMACR,APOA4,APOH,ASPG,BCO2,CD36,CHPT1,CROT,CYB5A,CYP2E1,DEGS2,DGKG,DHDDS,ENPP6,EPHX2,ETNPPL,GGT1,GLB1,GPX1,HACD2,IDI1,MOGAT1,MVD,NEU1,NR1H4,NUDT19,PCTP,PDSS1,PECR,PHYH,PI4KA,PLEKHA8,PRKAG3,PRKD3,PTGR1,SDC2,SGPP1,SMPDL3A,SRD5A1,UGT8	AACS,ABCD3,ABHD3,ACADS,ACAT1,ACOT12,ACOX1,ACOX3,ACSM2B,ACSM3,ACSS2,ADH1A,AGPS,ALDH3A2,ALDH8A1,ALG3,AMACR,APOA4,APOH,ASPG,B4GALT5,BCO2,CCN1,CD36,CHPT1,CPT2,CREM,CROT,CYB5A,CYP2E1,DEGS2,DGKG,DHDDS,ECHDC2,EHHADH,ENPP6,EPHX2,ESR1,ETNPPL,FAAH,FAM135A,FAR1,GDE1,GGT1,GK5,GLB1,GPC4,GPX1,HACD2,HMGCS1,HNF1A,IDI1,INPP5B,LPIN1,LPL,LYPLA1,MFSD2A,MLXIPL,MOGAT1,MTMR11,MVD,NEU1,NR1H4,NUDT19,PCTP,PCYT2,PDK3,PDSS1,PECR,PEDS1,PEX5,PHYH,PI4KA,PIGA,PLAA,PLEKHA8,PM20D1,PRKAG3,PRKD3,PSAP,PTGR1,RDH10,RDH5,SDC2,SGPP1,SLC27A2,SLC44A4,SMPD2,SMPDL3A,SPTLC2,SRD5A1,ST3GAL3,ST8SIA1,STARD10,TMEM150A,TTR,UGCG,UGT8,XBP1,ZADH2	ABCA4,ABHD6,ACACA,ACACB,ACOT7,ACSL1,ACSL5,ACSM1,ADIPOQ,AGMO,AGPAT2,ALDH1A1,ALDH1A2,ALDH3B2,ANGPTL3,ANGPTL8,APOC1,APOE,B3GALNT1,BAAT,C1QTNF2,C3,CAV1,CBR1,CEACAM1,CERS4,CLN3,CYP1A1,CYP2F1,CYP4V2,DHRS3,ELOVL2,ELOVL6,EPHX1,ESYT1,ETNK1,FABP1,FABP4,FABP5,FASN,GAL3ST1,GDPD1,GDPD3,GPAT3,GPC1,GPC3,GSTM2,HACD4,HACL1,HAO2,HPGD,IMPA2,INSIG1,LDLR,LIPE,LRAT,LTC4S,MBOAT2,MGLL,ORMDL3,PDK1,PDPN,PLA2G15,PLA2G4A,PLA2G5,PLA2G7,PLAAT3,PLBD1,PLCE1,PLPP5,PLPPR4,PMP22,PNPLA2,PNPLA3,PNPLA7,PON3,PPARG,PPARGC1A,PRKAR2B,PTGDS,PTGES,PTGS1,RBP4,RDH11,RDH16,SCD,SCD5,SLC22A13,SLC27A1,SLC44A1,SPNS2,SPTLC3,ST3GAL2,ST6GALNAC6,STRA6,TBXAS1,THRSP,TMEM86B
GO: Biological Process	GO:0006082	organic acid metabolic process	GeneOntologyBiologicalProcess_GO:0006082_organic acid metabolic process	10.0	10.0	10.0	10.0	AADAT,ACOT7,ACSL1,ALDH1A2,ANGPTL3,ARG2,BAAT,BHMT,CBR1,CEACAM1,CYP1A1,DIO1,ELOVL2,ELOVL6,FABP1,GSTO1,HACL1,HAO2,HPD,HPGD,KYNU,ME2,OAT,PRODH2,SCD,SLC22A13,SLC5A6,SPP1	AACS,AASS,ACAT1,ACOT12,ACOX1,ACOX3,ACSM2B,ACSM3,ACSS2,ADH1A,ALDH3A2,AMACR,AMDHD2,APOA4,ASPG,BCO2,BLMH,CBS,CD36,CROT,CSAD,CSGALNACT1,CYB5A,CYB5R3,CYP2E1,CYP7B1,DGLUCY,EPHX2,FTCD,GGT1,GPT,GPX1,HACD2,HTT,HYKK,IDO2,KYAT1,LDHD,ME1,NR1H4,NUDT19,ODC1,PECR,PEPD,PHYH,PIPOX,PRKAG3,PTGR1,SHMT2,SLC17A1,SLC17A3,SLC22A12,SLC25A21,TST,ZBTB20	AACS,AASS,ABCC2,ABCD3,ABHD3,ACADS,ACAT1,ACMSD,ACOT12,ACOX1,ACOX3,ACSM2B,ACSM3,ACSS2,ADH1A,ADHFE1,AFMID,AGXT2,AHCY,AKR1A1,AKR1D1,ALDH3A2,ALDH8A1,AMACR,AMDHD2,APOA4,ASPG,BCAT1,BCO2,BHMT2,BLMH,CBS,CD36,CMAS,COMT,CPT2,CREM,CROT,CSAD,CSGALNACT1,CTPS1,CYB5A,CYB5R3,CYP27A1,CYP2E1,CYP7B1,DALRD3,DAO,DDAH1,DGLUCY,DHFR,ECHDC2,EHHADH,EPHX2,FAAH,FAH,FARSB,FGFR4,FOLR1,FTCD,GCLC,GCLM,GGT1,GLS,GPT,GPX1,GRHPR,GSS,HAAO,HACD2,HNF1A,HTT,HYI,HYKK,IDO2,KYAT1,LDHA,LDHD,LPIN1,LPL,LYPLA1,ME1,MFSD2A,MLXIPL,MRS2,MYC,NR1H4,NUDT19,ODC1,OSBPL9,PDK3,PECR,PEDS1,PEPD,PEX5,PHYH,PIPOX,PLAA,PLOD2,PM20D1,PNP,PRKAG3,PSEN1,PSME4,PTGR1,QPRT,RARS2,RDH10,SHMT2,SLC16A1,SLC17A1,SLC17A3,SLC22A12,SLC25A21,SLC27A2,SPR,TST,TXNRD1,VNN1,XBP1,XYLB,ZADH2,ZBTB20	AADAT,ABCC1,ACACA,ACACB,ACOT7,ACSL1,ACSL5,ACSM1,ADIPOQ,ALDH18A1,ALDH1A2,ALDOC,AMDHD1,ANGPTL3,APOC1,ARG2,ASRGL1,ATP8B1,BAAT,BCAT2,BHMT,C1QTNF2,C3,CAV1,CBR1,CEACAM1,CLN3,CYP1A1,CYP2F1,CYP39A1,CYP4V2,DDC,DIO1,ELOVL2,ELOVL6,EPHX1,FABP1,FABP4,FABP5,FASN,FOLH1,GFPT2,GGT6,GLUL,GSTM2,GSTO1,HACD4,HACL1,HAO2,HDC,HK2,HPD,HPGD,IGF1,INSIG1,KYAT3,KYNU,LIPE,LTC4S,ME2,MGLL,MGST3,NAALAD2,NOX4,NPL,NUPR1,OAT,PAPSS2,PDK1,PDPN,PFKFB3,PGM2L1,PKM,PLA2G15,PLA2G4A,PLA2G5,PNPLA3,PON3,PPARG,PPARGC1A,PRKAR2B,PRODH2,PRUNE2,PSMB10,PSMB9,PTGDS,PTGES,PTGS1,SCD,SCD5,SHMT1,SLC1A3,SLC22A13,SLC27A1,SLC5A6,SLC7A7,SPP1,TBXAS1,UGT1A10,UROC1
GO: Biological Process	GO:0043436	oxoacid metabolic process	GeneOntologyBiologicalProcess_GO:0043436_oxoacid metabolic process	5.949274948688797	10.0	10.0	10.0	AADAT,ACOT7,ACSL1,ALDH1A2,ANGPTL3,ARG2,BAAT,BHMT,CBR1,CEACAM1,CYP1A1,DIO1,ELOVL2,ELOVL6,FABP1,GSTO1,HACL1,HAO2,HPD,HPGD,KYNU,ME2,OAT,PRODH2,SCD,SLC22A13,SLC5A6	AACS,AASS,ACAT1,ACOT12,ACOX1,ACOX3,ACSM2B,ACSM3,ACSS2,ADH1A,ALDH3A2,AMACR,AMDHD2,APOA4,ASPG,BCO2,BLMH,CBS,CD36,CROT,CSAD,CSGALNACT1,CYB5A,CYB5R3,CYP2E1,CYP7B1,DGLUCY,EPHX2,FTCD,GGT1,GPT,GPX1,HACD2,HTT,HYKK,IDO2,KYAT1,LDHD,ME1,NR1H4,NUDT19,ODC1,PECR,PEPD,PHYH,PIPOX,PRKAG3,PTGR1,SHMT2,SLC25A21,TST,ZBTB20	AACS,AASS,ABCC2,ABCD3,ABHD3,ACADS,ACAT1,ACMSD,ACOT12,ACOX1,ACOX3,ACSM2B,ACSM3,ACSS2,ADH1A,ADHFE1,AFMID,AGXT2,AHCY,AKR1A1,AKR1D1,ALDH3A2,ALDH8A1,AMACR,AMDHD2,APOA4,ASPG,BCAT1,BCO2,BHMT2,BLMH,CBS,CD36,CMAS,COMT,CPT2,CREM,CROT,CSAD,CSGALNACT1,CTPS1,CYB5A,CYB5R3,CYP27A1,CYP2E1,CYP7B1,DALRD3,DAO,DDAH1,DGLUCY,DHFR,ECHDC2,EHHADH,EPHX2,FAAH,FAH,FARSB,FGFR4,FOLR1,FTCD,GCLC,GCLM,GGT1,GLS,GPT,GPX1,GRHPR,GSS,HAAO,HACD2,HNF1A,HTT,HYI,HYKK,IDO2,KYAT1,LDHA,LDHD,LPIN1,LPL,LYPLA1,ME1,MFSD2A,MLXIPL,MRS2,MYC,NR1H4,NUDT19,ODC1,OSBPL9,PDK3,PECR,PEDS1,PEPD,PEX5,PHYH,PIPOX,PLAA,PLOD2,PM20D1,PRKAG3,PSEN1,PSME4,PTGR1,QPRT,RARS2,RDH10,SHMT2,SLC16A1,SLC25A21,SLC27A2,SPR,TST,TXNRD1,VNN1,XBP1,XYLB,ZADH2,ZBTB20	AADAT,ABCC1,ACACA,ACACB,ACOT7,ACSL1,ACSL5,ACSM1,ADIPOQ,ALDH18A1,ALDH1A2,ALDOC,AMDHD1,ANGPTL3,APOC1,ARG2,ASRGL1,ATP8B1,BAAT,BCAT2,BHMT,C1QTNF2,C3,CAV1,CBR1,CEACAM1,CLN3,CYP1A1,CYP2F1,CYP39A1,CYP4V2,DDC,DIO1,ELOVL2,ELOVL6,EPHX1,FABP1,FABP4,FABP5,FASN,FOLH1,GFPT2,GGT6,GLUL,GSTM2,GSTO1,HACD4,HACL1,HAO2,HDC,HK2,HPD,HPGD,IGF1,INSIG1,KYAT3,KYNU,LIPE,LTC4S,ME2,MGLL,MGST3,NAALAD2,NOX4,NPL,NUPR1,OAT,PAPSS2,PDK1,PDPN,PFKFB3,PGM2L1,PKM,PLA2G15,PLA2G4A,PLA2G5,PNPLA3,PON3,PPARG,PPARGC1A,PRKAR2B,PRODH2,PRUNE2,PSMB10,PSMB9,PTGDS,PTGES,PTGS1,SCD,SCD5,SHMT1,SLC1A3,SLC22A13,SLC27A1,SLC5A6,SLC7A7,TBXAS1,UGT1A10,UROC1
GO: Biological Process	GO:0046394	carboxylic acid biosynthetic process	GeneOntologyBiologicalProcess_GO:0046394_carboxylic acid biosynthetic process	5.6497725237593945	10.0	10.0	10.0	ACOT7,ALDH1A2,BAAT,BHMT,CBR1,CEACAM1,CYP1A1,ELOVL2,ELOVL6,GSTO1,HPGD,KYNU,OAT,SCD	AASS,ACSM2B,ACSM3,ACSS2,AMACR,APOA4,ASPG,CBS,CYP2E1,CYP7B1,EPHX2,GGT1,GPT,HACD2,HTT,KYAT1,NR1H4,PECR,PRKAG3,SHMT2	AASS,ABCD3,ABHD3,ACMSD,ACSM2B,ACSM3,ACSS2,AGXT2,AKR1A1,AKR1D1,ALDH8A1,AMACR,APOA4,ASPG,BCAT1,BHMT2,CBS,CYP27A1,CYP2E1,CYP7B1,DHFR,EPHX2,FGFR4,GGT1,GLS,GPT,HAAO,HACD2,HNF1A,HTT,KYAT1,LDHA,LPL,MLXIPL,NR1H4,OSBPL9,PECR,PLOD2,PRKAG3,RDH10,SHMT2,SLC27A2,XBP1	ACACA,ACACB,ACOT7,ACSM1,ADIPOQ,ALDH18A1,ALDH1A2,APOC1,BAAT,BCAT2,BHMT,CBR1,CEACAM1,CLN3,CYP1A1,CYP39A1,ELOVL2,ELOVL6,FABP5,FASN,FOLH1,GGT6,GLUL,GSTM2,GSTO1,HACD4,HPGD,INSIG1,KYNU,LTC4S,MGLL,MGST3,NAALAD2,OAT,PKM,PLA2G4A,PLA2G5,PTGDS,PTGES,PTGS1,SCD,SCD5,SHMT1,SLC1A3,TBXAS1
GO: Biological Process	GO:0016053	organic acid biosynthetic process	GeneOntologyBiologicalProcess_GO:0016053_organic acid biosynthetic process	5.534049742041764	10.0	10.0	10.0	ACOT7,ALDH1A2,BAAT,BHMT,CBR1,CEACAM1,CYP1A1,ELOVL2,ELOVL6,GSTO1,HPGD,KYNU,OAT,SCD	AASS,ACSM2B,ACSM3,ACSS2,AMACR,APOA4,ASPG,CBS,CSAD,CYP2E1,CYP7B1,EPHX2,GGT1,GPT,HACD2,HTT,KYAT1,NR1H4,PECR,PRKAG3,SHMT2	AASS,ABCD3,ABHD3,ACMSD,ACSM2B,ACSM3,ACSS2,AGXT2,AKR1A1,AKR1D1,ALDH8A1,AMACR,APOA4,ASPG,BCAT1,BHMT2,CBS,CSAD,CYP27A1,CYP2E1,CYP7B1,DHFR,EPHX2,FGFR4,GGT1,GLS,GPT,HAAO,HACD2,HNF1A,HTT,KYAT1,LDHA,LPL,MLXIPL,NR1H4,OSBPL9,PECR,PLOD2,PRKAG3,RDH10,SHMT2,SLC27A2,XBP1	ACACA,ACACB,ACOT7,ACSM1,ADIPOQ,ALDH18A1,ALDH1A2,APOC1,BAAT,BCAT2,BHMT,CBR1,CEACAM1,CLN3,CYP1A1,CYP39A1,ELOVL2,ELOVL6,FABP5,FASN,FOLH1,GGT6,GLUL,GSTM2,GSTO1,HACD4,HPGD,INSIG1,KYNU,LTC4S,MGLL,MGST3,NAALAD2,OAT,PKM,PLA2G4A,PLA2G5,PTGDS,PTGES,PTGS1,SCD,SCD5,SHMT1,SLC1A3,TBXAS1
GO: Biological Process	GO:0032787	monocarboxylic acid metabolic process	GeneOntologyBiologicalProcess_GO:0032787_monocarboxylic acid metabolic process	5.526775936723574	10.0	10.0	10.0	ACOT7,ACSL1,ALDH1A2,ANGPTL3,BAAT,CBR1,CEACAM1,CYP1A1,ELOVL2,ELOVL6,FABP1,HACL1,HAO2,HPGD,KYNU,ME2,PRODH2,SCD,SLC22A13,SLC5A6	AACS,ACAT1,ACOT12,ACOX1,ACOX3,ACSM2B,ACSM3,ACSS2,ADH1A,ALDH3A2,AMACR,APOA4,BCO2,CD36,CROT,CYB5A,CYP2E1,CYP7B1,EPHX2,FTCD,GGT1,GPX1,HACD2,HTT,KYAT1,LDHD,ME1,NR1H4,NUDT19,PECR,PHYH,PRKAG3,PTGR1,ZBTB20	AACS,ABCC2,ABCD3,ABHD3,ACADS,ACAT1,ACMSD,ACOT12,ACOX1,ACOX3,ACSM2B,ACSM3,ACSS2,ADH1A,AGXT2,AKR1A1,AKR1D1,ALDH3A2,ALDH8A1,AMACR,APOA4,BCO2,CD36,CPT2,CREM,CROT,CYB5A,CYP27A1,CYP2E1,CYP7B1,ECHDC2,EHHADH,EPHX2,FAAH,FAH,FGFR4,FTCD,GGT1,GPX1,GRHPR,HAAO,HACD2,HNF1A,HTT,HYI,KYAT1,LDHA,LDHD,LPIN1,LPL,LYPLA1,ME1,MFSD2A,MLXIPL,MRS2,MYC,NR1H4,NUDT19,OSBPL9,PDK3,PECR,PEDS1,PEX5,PHYH,PLAA,PM20D1,PRKAG3,PSEN1,PTGR1,RDH10,SLC16A1,SLC27A2,VNN1,XBP1,XYLB,ZADH2,ZBTB20	ACACA,ACACB,ACOT7,ACSL1,ACSL5,ACSM1,ADIPOQ,ALDH1A2,ALDOC,AMDHD1,ANGPTL3,APOC1,ATP8B1,BAAT,C1QTNF2,C3,CAV1,CBR1,CEACAM1,CYP1A1,CYP2F1,CYP39A1,CYP4V2,ELOVL2,ELOVL6,EPHX1,FABP1,FABP4,FABP5,FASN,GSTM2,HACD4,HACL1,HAO2,HK2,HPGD,IGF1,INSIG1,KYNU,LIPE,LTC4S,ME2,MGLL,NUPR1,PDK1,PDPN,PFKFB3,PGM2L1,PKM,PLA2G15,PLA2G4A,PLA2G5,PNPLA3,PON3,PPARG,PPARGC1A,PRKAR2B,PRODH2,PTGDS,PTGES,PTGS1,SCD,SCD5,SLC1A3,SLC22A13,SLC27A1,SLC5A6,TBXAS1,UGT1A10,UROC1
GO: Biological Process	GO:0006790	sulfur compound metabolic process	GeneOntologyBiologicalProcess_GO:0006790_sulfur compound metabolic process	10.0	10.0	10.0	5.448746621840855	AADAT,ACOT7,ACSL1,B3GNT7,BAAT,BHMT,ELOVL2,ELOVL6,GSTA2,GSTA4,GSTA5,GSTO1,HS3ST3B1,KYNU,MGST1,SCD,SLC5A6,ST3GAL2	AASS,ACAT1,ACOT12,ACSM2B,ACSM3,ACSS2,ARSB,ARSG,BLMH,CBS,CHST11,CHST7,CNDP2,CSAD,CSGALNACT1,ETHE1,GALNS,GGCT,GGT1,GLB1,GPX1,HACD2,LYRM4,MVD,NAT8,PIPOX,PPT2,SLC35D2,TST	AASS,ABCC2,ACAT1,ACOT12,ACSM2B,ACSM3,ACSS2,AHCY,AKR1A1,ARSB,ARSG,B4GALT1,B4GALT5,BHMT2,BLMH,CBS,CHAC2,CHST11,CHST7,CHSY1,CNDP2,COMT,CSAD,CSGALNACT1,EHHADH,ETHE1,FAR1,GALNS,GCLC,GCLM,GGCT,GGT1,GLB1,GPX1,GSS,HACD2,HMGCS1,LYRM4,MVD,NAT8,NFS1,PDK3,PIPOX,PPCS,PPT2,SLC1A1,SLC35D2,ST3GAL3,TPK1,TST	AADAT,ACACA,ACACB,ACOT7,ACSL1,ACSL5,ACSM1,ANGPT1,B3GNT7,BAAT,BHMT,CHST12,DCN,ELOVL2,ELOVL6,FASN,GGT6,GSTA2,GSTA4,GSTA5,GSTM2,GSTO1,HS3ST3B1,KYNU,LUM,MGST1,MGST3,NOX4,OGN,PAPSS2,PDK1,SCD,SCD5,SLC5A6,ST3GAL2,XDH
GO: Biological Process	GO:0006631	fatty acid metabolic process	GeneOntologyBiologicalProcess_GO:0006631_fatty acid metabolic process	5.348664781081885	10.0	10.0	10.0	ACOT7,ACSL1,ANGPTL3,BAAT,CBR1,CEACAM1,CYP1A1,ELOVL2,ELOVL6,FABP1,HACL1,HAO2,HPGD,SCD,SLC22A13	AACS,ACAT1,ACOT12,ACOX1,ACOX3,ACSM2B,ACSM3,ACSS2,ALDH3A2,AMACR,APOA4,CD36,CROT,CYB5A,CYP2E1,EPHX2,GGT1,GPX1,HACD2,NUDT19,PECR,PHYH,PRKAG3,PTGR1	AACS,ABCD3,ABHD3,ACADS,ACAT1,ACOT12,ACOX1,ACOX3,ACSM2B,ACSM3,ACSS2,ALDH3A2,AMACR,APOA4,CD36,CPT2,CREM,CROT,CYB5A,CYP2E1,ECHDC2,EHHADH,EPHX2,FAAH,GGT1,GPX1,HACD2,HNF1A,LPIN1,LPL,LYPLA1,MFSD2A,MLXIPL,NUDT19,PDK3,PECR,PEDS1,PEX5,PHYH,PLAA,PM20D1,PRKAG3,PTGR1,SLC27A2,XBP1,ZADH2	ACACA,ACACB,ACOT7,ACSL1,ACSL5,ACSM1,ADIPOQ,ANGPTL3,APOC1,BAAT,C1QTNF2,C3,CAV1,CBR1,CEACAM1,CYP1A1,CYP2F1,CYP4V2,ELOVL2,ELOVL6,EPHX1,FABP1,FABP4,FABP5,FASN,GSTM2,HACD4,HACL1,HAO2,HPGD,INSIG1,LIPE,LTC4S,MGLL,PDK1,PDPN,PLA2G15,PLA2G4A,PLA2G5,PNPLA3,PON3,PPARG,PPARGC1A,PRKAR2B,PTGDS,PTGES,PTGS1,SCD,SCD5,SLC22A13,SLC27A1,TBXAS1
GO: Biological Process	GO:0008610	lipid biosynthetic process	GeneOntologyBiologicalProcess_GO:0008610_lipid biosynthetic process	4.8593340360789785	10.0	10.0	10.0	ACOT7,ACSL1,AGMO,ALDH1A2,APOE,BAAT,CBR1,CEACAM1,CYP1A1,ELOVL2,ELOVL6,ETNK1,GPAT3,HPGD,HSD17B14,ORMDL3,PRLR,SCD,SPTLC3,ST3GAL2	ACSM2B,ACSM3,ACSS2,AGPS,ALDH3A2,AMACR,APOA4,CHPT1,CYB5R3,CYP2E1,CYP7B1,DEGS2,DGKG,DHDDS,EPHX2,ETNPPL,HACD2,HSD11B1,HSD17B11,HSD17B2,IDI1,MOGAT1,MVD,NR1H4,PCTP,PDSS1,PECR,PI4KA,PLEKHA8,PRKAG3,PRKD3,SGPP1,SRD5A1,UGT8,ZBTB20	ABCD3,ABHD3,ACSM2B,ACSM3,ACSS2,AGPS,AKR1D1,ALDH3A2,ALDH8A1,AMACR,APOA4,B4GALT5,CCN1,CHPT1,CYB5R3,CYP27A1,CYP2E1,CYP7B1,DEGS2,DGKG,DHDDS,EGR1,EPHX2,ETNPPL,FAR1,FDX1,FGF1,FGFR4,HACD2,HMGCS1,HNF1A,HSD11B1,HSD17B11,HSD17B2,HSD3B2,IDI1,LBR,LPIN1,LPL,MFSD2A,MLXIPL,MOGAT1,MVD,NR1H4,OSBPL9,PCTP,PCYT2,PDSS1,PECR,PEDS1,PEX5,PI4KA,PIGA,PLEKHA8,PRKAG3,PRKD3,RDH10,SGPP1,SLC27A2,SLC44A4,SMPD2,SPTLC2,SRD5A1,SRD5A2,ST3GAL3,ST8SIA1,STARD10,UGCG,UGT8,XBP1,ZBTB20	ABHD6,ACACA,ACACB,ACOT7,ACSL1,ACSL5,ACSM1,ADIPOQ,AGMO,AGPAT2,ALDH1A2,ALDH3B2,APOC1,APOE,BAAT,C3,CBR1,CEACAM1,CERS4,CLN3,CYP1A1,CYP39A1,DKK3,ELOVL2,ELOVL6,ETNK1,FABP5,FASN,GAL3ST1,GPAT3,GPER1,GSTM2,HACD4,HPGD,HSD17B14,IGF1,INSIG1,LDLR,LTC4S,MBOAT2,MGLL,ORMDL3,PDE8B,PLA2G15,PLA2G4A,PLA2G5,PLAAT3,PLCE1,PNPLA2,PNPLA3,PPARGC1A,PRLR,PTGDS,PTGES,PTGS1,REST,SCD,SCD5,SLC27A1,SLC44A1,SNAI2,SPTLC3,ST3GAL2,ST6GALNAC6,TBXAS1,THRSP
