peakID,Log2FC,Pval,FDR,Mean,MeanDiff,Direction,score,replicateScoreQuantile,groupScoreQuantile,Reproducibility,GroupReplicate,distToGeneStart,nearestGene,peakType,distToTSS,nearestTSS,GC,idx,N,AR.halfsite.motif,ARE.motif,HNF4a.motif,AR_binding,Hnf4a_binding
chr1_104002821_104003321,-3.14911810684054,1.28536519580413e-05,0.00455330328982703,0.00792925718970025,-0.0781544876277372,DOWN,33.43844,0.815,0.757,3,PT-S3-mWT._.B3,765747,Cdh20,Distal,653805,uc029qsm.1,0.475,6898,0,FALSE,FALSE,TRUE,0,1
chr1_104878925_104879425,-1.11435012519678,1.99215855726592e-05,0.00620014553732784,0.068833316642129,-0.0825190175056047,DOWN,86.89127,0.871,0.832,3,PT-S3-mWT._.B1,110355,Cdh20,Intronic,110355,uc007cgc.1,0.3393,6914,0,FALSE,FALSE,FALSE,0,0
chr1_104904354_104904854,-2.81715970828557,0.000301233953770559,0.0385828712655239,0.00262455798544698,-0.0279681018522633,DOWN,16.81291,0.532,0.491,4,PT-S3-f/mKO._.A1,135784,Cdh20,Intronic,135784,uc007cgc.1,0.3673,6916,0,FALSE,FALSE,FALSE,0,0
chr1_105117790_105118290,-1.04683135115541,0.000268141698758228,0.0359080956274479,0.0526744637504221,-0.0582822812859091,DOWN,52.11687,0.863,0.82,3,PT-S3-mWT._.B5,237966,Gm17634,Distal,166789,uc033fkw.1,0.4172,6937,0,TRUE,FALSE,FALSE,0,0
chr1_105824284_105824784,-1.21132596103283,0.000444242899767153,0.048707666007281,0.0920248600092367,-0.123690035942832,DOWN,110.49764,0.947,0.929,3,PT-S3-mWT._.B3,43810,Tnfrsf11a,Intronic,43810,uc007cgo.1,0.4531,7011,0,FALSE,FALSE,FALSE,0,0
chr1_105859718_105860218,-1.20620090528568,0.000102335396795779,0.0193399926436026,0.0391697093173448,-0.0538208519799382,DOWN,28.53412,0.792,0.726,3,PT-S3-mWT._.B3,79244,Tnfrsf11a,Distal,79244,uc007cgo.1,0.4691,7013,0,FALSE,FALSE,FALSE,0,0
chr1_105940707_105941207,-2.33746850727961,8.58071351308154e-05,0.0171387005183865,0.00285364844369675,-0.0196774192668441,DOWN,6.61754,0.32,0.148,2,PT-S3-mWT._.B1,49448,Zcchc2,Distal,49448,uc007cgq.4,0.3812,7019,0,FALSE,FALSE,FALSE,0,0
chr1_105954022_105954522,-1.59323434401589,0.000100743345264172,0.0191854055586847,0.0280989428923487,-0.0607170991800713,DOWN,65.72181,0.833,0.781,3,PT-S3-mWT._.B1,36133,Zcchc2,Distal,36133,uc007cgq.4,0.4132,7021,0,TRUE,FALSE,FALSE,0,0
chr1_106102431_106102931,-2.00287581725255,7.09962314565678e-07,0.00050773742574325,0.0360942476967625,-0.114586788929119,DOWN,50.48161,0.87,0.83,3,PT-S3-mWT._.B3,68842,Gm20753,Distal,68842,uc029qsp.1,0.4591,7049,0,FALSE,FALSE,TRUE,0,0
chr1_106809720_106810220,-2.60097922057052,0.000129227734029653,0.0222524328983408,0.0171365260507685,-0.0969644482913646,DOWN,30.27798,0.704,0.614,3,PT-S3-mWT._.B1,13244,Vps4b,Distal,13244,uc007cgz.2,0.4711,7136,0,FALSE,FALSE,FALSE,0,0
chr1_106812460_106812960,-3.47909656796289,2.12505255943984e-05,0.00645160473039332,0.00218475291417882,-0.0424792773665157,DOWN,12.56775,0.51,0.357,2,PT-S3-mWT._.B1,15984,Vps4b,Distal,15984,uc007cgz.2,0.4132,7137,0,TRUE,FALSE,FALSE,0,0
chr1_106813026_106813526,-1.57730161371631,0.000131709883312257,0.0225216242912605,0.0265222459434097,-0.0565913262974648,DOWN,63.94169,0.752,0.737,6,PT-S3-f/mKO._.A2,16550,Vps4b,Distal,16550,uc007cgz.2,0.3693,7138,0,FALSE,FALSE,TRUE,0,0
chr1_112105368_112105868,-2.96396017293748,2.87543551400834e-05,0.00792219521334889,0.00194223048591291,-0.0268175286282483,DOWN,6.65696,0.436,0.263,3,PT-S3-mWT._.B5,240699,Dsel,Distal,240699,uc007chy.1,0.3234,7214,0,FALSE,FALSE,FALSE,0,0
chr1_112779831_112780331,-1.48570173216883,7.26306087109336e-06,0.00300335864013676,0.0434131419854158,-0.0817678875624254,DOWN,37.62194,0.822,0.78,4,PT-S2-mWT._.B3,915162,Dsel,Distal,915162,uc007chy.1,0.4531,7226,0,FALSE,FALSE,FALSE,0,0
chr1_115686404_115686904,-3.78555622288815,9.62952000292778e-05,0.0186171775057426,0,-0.0255801084155622,DOWN,5.85692,0.277,0.117,2,PT-S3-mWT._.B1,1516,Cntnap5a,Intronic,1516,uc007cia.1,0.3752,7251,0,TRUE,FALSE,FALSE,0,0
chr1_117340391_117340891,-2.18922698426672,2.66717699593871e-05,0.00748872005990962,0.00905282735343584,-0.039354813916009,DOWN,34.93915,0.732,0.644,3,PT-S3-mWT._.B1,970490,Tsn,Distal,132405,uc029qss.1,0.3673,7265,0,TRUE,FALSE,FALSE,0,0
